claim_id,status,scope,statement_source
E993-PAIR-UNION-MODE,VERIFIED,"proved (ratio test + Darroch); the registered DISCOVERY is the guardrail, not the classical formula (CRIT-F2-T's framing adopted)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-UNION-MODE
E993-PAIR-ALPHA-SANDWICH,VERIFIED,"realizable tree/forest leaf pairs; proved (C1 stage-6 derivation, promoted at the C2 close because load-bearing: kills the exhibited abstract-retreat witnesses)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-ALPHA-SANDWICH
E993-PAIR-R1,VERIFIED,"sum algebra only (f's unimodality struck as unused — the WINDOW-THM non-minimality lesson); forest-facing use rides the OB-R20-SCHEME vertex-count order (debt discharged by amendment, C3-GATE-RECORD §4)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-R1
E993-PAIR-R2-GAP,VERIFIED,"the characterization is PROVED; whether R2-or-R2-prime HOLDS on all realizable pairs is the OPEN remainder (it is exactly what E993-PAIR-PHISTAR-CLOSURE needs at s = -1); R2 alone is sufficient-not-necessary (568 abstract failures, 96 with delta_f <= 1 — all 96 die under realizability normalization; an abstract-box fact); 'equivalent to overshoot' is BLOCKED as false",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-R2-GAP
E993-PAIR-NETZERO,OPEN,"A BOUNDED ZERO ON ITS FACE — the tested abstract box only (lengths <= 5-ish, small values); evidence of nothing beyond itself; the run's realizability evidence, never proof; growing the box is the standing falsification target",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-NETZERO
E993-PAIR-STAR-CLOSURE,VERIFIED,"the star family exactly; NEAR-STARS Broom(m,2): the peak-location premise is PROVED UNCONDITIONALLY at r20 C5 on two independent routes, either sufficing - Route A (F lane): closed-form gap identities in both parities, rise D(2s,s+1)-D(2s,s)=C(2s,s)/(s+1) and 4C(2s+1,s+1)/(s+2) (route R20C5-F2), fall C(2s,s)(5s+4)/((s+1)(s+2)) and 2C(2s+1,s+1)/(s+2) (CRIT-F2-T and CRIT-F2-U independently and identically - credit JOINT AND EQUAL; adjudicated ADJ-F F2-2), closing mode(D(m,.)) = floor(m/2)+1 for every m >= 0 with unimodality from the explicit factorization (1+x)^m(1+2x) (a factorization, not a citation - RUL-R20-C4-8 not engaged); Route B (T lane): the same by the binomial-ratio trichotomy on D(m,k) = C(m+1,k)+C(m,k-1) (R20C5-T2; re-derived by both its critics and ADJ-T), no log-concavity or real-rootedness used. The R20C3-T2.md Sec3.2 dependency (whose claimed Sec6.1 receipt does not exist) and the m<=800 bound are RETIRED; the CONDITIONAL qualifier is STRUCK. deg D(m,.) = m+1, not m+2. IMPORT STATUS (r20 C6, supersedes the C5 line): the chartered R20C4-T2 import is DISCHARGED - the six finite cases m=0..5 are exhibited on the R20C6-T2 face and re-executed byte-identical on four independent instruments, and the m>=4 closure is supplied by R20C6-CRIT-T2-U M-1 from the full-row shape theorem plus integrality alone (no M(2), no three-zone argument, no R20C5-T2 citation). 'FULLY PROVED, both parts, for every m>=0, standing alone' may be written ONLY on the COMPOSITE (R20C6-T2 pars.1.3/1.4/1.6 + CRIT-T2-U M-1) and NEVER on the R20C6-T2 face as sealed (which discharged one import while introducing an undisclosed R20C5-T2 Sec2.2 import). AVAILABLE, NOT YET ASSEMBLED: R20C5-T2 Sec1.5 + Sec2.2 at l=2 (M(2)=6) prove the lemma import-free for every m >= 6, leaving exactly six finite cases m=0..5 for a successor. COMBS: three independent computations of record (338 of 900, first at k=3, k=3 witness; the original route receipt's wrong-object provenance defect stands as recorded); brooms/spiders (m,l <= 70): measured; the general spider closed form (E993-PAIR-SPIDER-CLOSED-FORM) now subsumes the proved core",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-STAR-CLOSURE
E993-PAIR-PATH-CLOSURE,VERIFIED,the path family exactly; the run's strongest single family result,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-PATH-CLOSURE
E993-PAIR-ALPHA-FLOOR,VERIFIED,"Every forest, no exception. FOREST and TREE face (RUL-R20-C1-3). A statement about the independence NUMBER and the VERTEX COUNT - not about mode(i(F)) or any mode-indexed quantity.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-ALPHA-FLOOR
E993-R19-FIXED-GAMMA-HALL,OPEN,"Universal fixed-Gamma Hall mechanism for the r19 aggregate-beta route; stronger than E993-BETA-AGG; excludes the refuted residual-token capacity cap(y)=D-d_minus(y). [2026-09-17, Horn B of record (r23b terminal close, Ashton-approved): the r23 ordinary-tree object is the definition of record for O14's purposes; this row remains OPEN on its own governed-RTree terms pending the universal transfer RTree.semanticAdequacyTarget, registered as a named open obligation (LEDGER.md r23b section; r23b CLAIM-DISTINCTIONS entry HORN-B-OF-RECORD).]",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-R19-FIXED-GAMMA-HALL
E993-R19-TM-RATIO-PACKAGE,OPEN,The exact r19 T_m special-family ratio package only; does not assert all-tree aggregate beta or termwise negativity.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-R19-TM-RATIO-PACKAGE
E993-R19-R2-HALL-UNIVERSAL,OPEN,"Universal radius-two Hall certificate in r19; strictly stronger than and not equivalent to E993-BETA-AGG. [2026-09-17, Horn B of record (r23b terminal close, Ashton-approved): the r23 ordinary-tree object is the definition of record for O14's purposes; this row remains OPEN on its own governed-RTree terms pending the universal transfer RTree.semanticAdequacyTarget, registered as a named open obligation (LEDGER.md r23b section; r23b CLAIM-DISTINCTIONS entry HORN-B-OF-RECORD).]",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-R19-R2-HALL-UNIVERSAL
E993-R19-U2-UNIVERSAL-FACES,OPEN,The two universal orbit/covariance sign faces used by the r19 conditional composition theorem; stronger than and not equivalent to E993-BETA-AGG.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-R19-U2-UNIVERSAL-FACES
E993-PAIR-S-NEG1-WINDOW-REDUCTION,VERIFIED,"general sum algebra; no unimodality needed for the algebra itself; the corollary branch identification proved on two independent derivations (R20C4-ADJ-T Lemma-W re-derivation; R20C4-ADJ-U from identities I+II, 3,995/3,995 numeric)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-S-NEG1-WINDOW-REDUCTION
E993-PAIR-R-LE-G-POINTWISE,VERIFIED,"any graph with a leaf/support pair; registered ON ITS PROOF. Discriminating power of record: kill rate 93.84% at the lengths-2-5 box, of which 84.5% is the index-0 coordinate (a weakened form of the registered r0=1); honest marginal given r0=1 is 64.7% (224->79); net kills at the net-zero chain's terminus are ZERO; at the sealed lengths-2-4 box the lemma contributes nothing beyond r0<=1 (111/111 index-0)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-R-LE-G-POINTWISE
E993-PAIR-BRANCH-FACTORIZATION,VERIFIED,"forests, with the i(F - C(u)) factor MANDATORY (without it the identity is FALSE on every disconnected instance: 82/82 failures; CE1 (a-u-b)+(c-d) is the minimal witness). 'Any graph' STRUCK OUTRIGHT - false in substance (the w_i need not lie in distinct components of G-u; CE2 C_4+pendant, CE3 triangle+leaf). The originally proposed forest/any-graph text is REFUSED and may not be cited",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-BRANCH-FACTORIZATION
E993-PAIR-SPIDER-CLOSED-FORM,VERIFIED,"MANDATORY SCOPE LINE: the closed form is a PROOF (induction on legs); the CLOSURE BOUND for general spiders is NOT proved. Subsumes the proved cores of E993-PAIR-STAR-CLOSURE, E993-PAIR-PATH-CLOSURE, and Broom(m,l) at every (m,l)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-SPIDER-CLOSED-FORM
E993-PAIR-CATERPILLAR-TRANSFER,VERIFIED,MANDATORY SCOPE LINE: the recursion is a PROOF; no closure bound for general caterpillars is proved. Interior-zero tooth vectors included,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-CATERPILLAR-TRANSFER
E993-PAIR-RANK2-EXACT,VERIFIED,"EXACT only when the deleted object is CONNECTED (tree face, RUL-R20-C1-3 qualifier per ADJ-F-2); on the FOREST face only the inequality survives. Strictly strengthens {edge bound, cap} on that side, one-directionally",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-RANK2-EXACT
E993-PAIR-RANK3-TREE-SANDWICH,VERIFIED,"TREE face only (connectedness load-bearing, ADJ-F-2). The endpoint C(n,3) - (n-1)(n-3) printed in the C4 F3 route deliverable is WRONG BY EXACTLY 1 and violated by the path at every n >= 2 (ADJ-F-1, CRITICAL) - it may not be cited. f-side struck as exactly redundant",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-RANK3-TREE-SANDWICH
E993-PAIR-RANK3-FOREST-MAX,VERIFIED,"all forests, all (n,c)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-RANK3-FOREST-MAX
E993-PAIR-RANK3-FOREST-MIN,VERIFIED,"all forests, all (n,c), NO REGIME RESTRICTION (registers WITHOUT the r_1 <= 2c caveat - ruled unnecessary, C4-GATE-RECORD par.3 N9); P2^min = max(n-2c,0) proved",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-RANK3-FOREST-MIN
E993-R19-ROOT-SAFE-PRUNE-TOTALITY,REFUTED,"Exact r19 decorated-state mechanism: finite target trees, all original leaves literally marked, connected strict vertex deletion only; does not cover relabeling, disconnected carriers, graft successors, or compensated exits",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-R19-ROOT-SAFE-PRUNE-TOTALITY
E993-R19-SUPPORT-LOCKED-CORRIDOR-ADVANCE,REFUTED,"Exact r19 corridor mechanism: every state label is locked to its current support, each operation edge preserves the literal label, and an advance traverses two distinct consecutive supports; does not cover carried provenance independent of current support",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-R19-SUPPORT-LOCKED-CORRIDOR-ADVANCE
E993-R19-SUPPORT-PRESERVING-UNIT-TRANSPORT,REFUTED,"Exact r19 unit-token mechanism with every matching edge preserving the leaf-support label; does not cover cross-support transport, non-unit capacities, or other aggregate encodings",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-R19-SUPPORT-PRESERVING-UNIT-TRANSPORT
E993-PAIR-FM-LEMMA,VERIFIED,"the full sum algebra of Identity II; NO unimodality, nonnegativity, zero-extension, s-value, or realizability hypothesis is used (registration says so per the adjudicated text). MANDATORY: Lemma FM narrows T2; it does not resolve it, and it is silent on T1/R2.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-FM-LEMMA
E993-PAIR-R-LOGCONCAVE-RATIO-BOUND,VERIFIED,"VERIFIED (proved, conditional on r's log-concavity - strictly stronger than the mere unimodality R1 already assumes). MANDATORY: does NOT imply T1 in general - T1 follows iff r_M*c > b*(b-c), and at c=0, b>0 the bound degenerates to 0 > b^2, false; the route's disclosure of this gap is correct. SHARPNESS: attained at non-degenerate instances (witness g=(4,8,10,10), r=(4,2,1), r_M=2, R20C5-ADJ-T par.2.6.3); attainment holds exactly when r_M^2 = r_{M+1}*(r_M+b) (18,630 configurations, 0 characterisation mismatches; 413 non-degenerate slack-0). No route/critic-sampled population established the attribute (all their slack-0 hits were degenerate r_M=0); the adjudicator witness does.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-R-LOGCONCAVE-RATIO-BOUND
E993-PAIR-EDGE-JOIN-COMPOSITION,VERIFIED,"PAIR FORM: realizable leaf pairs, closed on them; K_2 is the FORCED atom (K_1 carries no leaf); every leaf-marked tree is reachable by edge-peeling at the support (proved by hand; 2,298/2,298 leaf instances over 435 trees to order 11) - the property that makes this row bear on OB-R20-REALIZE. GENERAL LAW: any two graphs, any marked vertices - NO leaf, tree, forest or acyclicity hypothesis (verified 81,225/81,225 incl. cyclic and disconnected; this scope may NOT be narrowed). FOUR REFUSALS OF RECORD (r20 C6, so no controller 'fixes' correct sentences): the f'-formula may NOT be replaced (every C6 replacement proposal is a true identity about a differently-constructed side-2-intact object, REFUSED); f^(2) := i(H2) may NOT be 'fixed' to i(H2-u2); MANDATORY CONDITION 2 (f^(2) notationally distinct from f_2) may NOT be reversed; the any-two-rooted-graphs scope may NOT be narrowed to leaves.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-EDGE-JOIN-COMPOSITION
E993-PAIR-LOGCONCAVE-DOMINATED-R2-CONJECTURE,REFUTED,mechanism tier only - abstract sequence objects with no forest order; NEVER a target event. Registered REFUTED as a fence against re-proposal (r19 fence practice; monotone refutation precedence binds).,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-LOGCONCAVE-DOMINATED-R2-CONJECTURE
E993-PAIR-GENERATION-THEOREM,VERIFIED,"FIVE MANDATORY LINES (all required): (1) OBJECT CLASS - forests not trees-only, triples not pairs; authority is CYCLE6-ALLOCATION's T-1 text, NOT contract Sec2 (whose PHI-REAL says 'an actual tree T and leaf v'); the triple form carries NO content beyond the pair form (r = (f-g)/x - triple- and pair-completeness are EQUIVALENT). (2) REDUCTION - the leaf-freedom lemma (realizable in the contract's leaf sense IFF realizable at ANY vertex of H := F-v) is proved, not measured. (3) GENERATIVE, NOT RECOGNITIONAL - decides no given (f,g,r) without search, supplies no separating invariant; OB-R20-REALIZE is NOT discharged and stays OPEN. (4) PROOF, NOT COMPUTATION - the universal quantifier is carried by the structural induction; the exhaustive m<=17 verification (1,354,143 triples at m=17, both directions) is corroboration only; no bounded match is evidence of anything beyond its box. (5) MECHANISM TIER - nothing here asserts, implies or bears on TREE/FOREST/TRANSFER/COUNTEREXAMPLE. EDGE-JOIN CITATION CAVEAT: this row may cite the r20 C6-repaired E993-PAIR-EDGE-JOIN-COMPOSITION text only, never the C5 text as originally written; MANDATORY CONDITION 2 of that row stands.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-GENERATION-THEOREM
E993-PAIR-BROOM-DOMINATION,VERIFIED,"FIXED l only — the simultaneous multi-leg growth refutation (r20 C5/C6) stands. M(l) table of record l = 0..24 on three mutually independent exhaustive scans, incl. closed-form exceptions l=0 (M=6) and l=1 (M=5). The closed form M(l) = max(2(s_l+2), Gamma(l)+1) is MEASURED l=0..24, NOT proved. MANDATORY: 'complete and gapless' may never be written on this row (struck three times in-run); the false 'condition (ii) reduces to j=1' mechanism (binding j = 2..5 at l = 0..6) may not be cited. The general-L multi-background extension is REGISTERED as E993-PAIR-GENERAL-L-DOMINATION (idx 78, the same C8 gate; sentence corrected r20 C9).",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-BROOM-DOMINATION
E993-PAIR-K2-GRAFT-PRESERVATION,CONDITIONAL,"STRICTLY SUB-CHARTERED (C8-GATE-RECORD par.0): the K2 ATOM of ONE law (EDGE-JOIN), ONE stratum (s=-1); an atom instance is not a law - general EDGE-JOIN and DISJOINT-UNION carry no preservation theorem; delta_f=0 carries no theorem. FIREWALL: this restated form never consumes target-implying P-DF01 (= OPEN E993-PAIR-LEAFDRIFT-01); the route face's Corollary carried that breach and is struck of record. Registered CONDITIONAL - the row is not VERIFIED-unconditional and may never be cited without P-CASE-I named.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-K2-GRAFT-PRESERVATION
E993-PAIR-GENERAL-L-DOMINATION,VERIFIED,"fixed finite L only (simultaneous multi-leg growth refuted r20 C5/C6, stands); M(L) finite by the composite's chain; the SPIDER-CLOSED-FORM citation carries that row's mandatory scope line (the closed form is a proof; general-spider CLOSURE is not proved). Neither Broom nor Spider(1^m,L) can test R2 - mechanism tier entirely.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-GENERAL-L-DOMINATION
E993-R23-LITERAL-ACTUAL-TREE-FIXED-GAMMA-HALL,REFUTED,Literal ordinary-tree instantiation fixed by the r23 semantic contract; not every legacy governed RTree encoding. A changed or enlarged relation is a different claim.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-R23-LITERAL-ACTUAL-TREE-FIXED-GAMMA-HALL
E993-R23-TAG-CLOSED-CUT-HALL,REFUTED,"Governed r23 scope (the A2.2-class dead-branch fence); the tag-closed-cut mechanism specifically, as distinct from the already-REFUTED all-cut mechanism (E993-R23-LITERAL-ACTUAL-TREE-FIXED-GAMMA-HALL, order-91) and from Delete-only universal Hall (refuted a fortiori from the same witness family). A changed or narrowed cut class is a different claim; the per-row demand |P| <= |N| (the O14 row) is NOT this claim and remains OPEN. Object of record: the r23 ordinary-tree object (Horn B).",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-R23-TAG-CLOSED-CUT-HALL
E993-G1WIDE-NO-SIZE-CAP,OPEN,Actual finite trees and separately the binder-for-binder RTree target in the solution contract,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1WIDE-NO-SIZE-CAP
E993-G1-GUARDED-KSCOPE25,REFUTED,G1-eligible actual tree tuples,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-GUARDED-KSCOPE25
