occurrence_id,cycle,claim_id,original_proposed_status,original_statement,original_scope,classification,registered_exact_key,terminal_registry_status,terminal_overlay,evidence_grade,source_return,json_pointer,scope_note
C1-SYNTHESIS:16:C1-F3-03,1,C1-F3-03,proposed_retained,The F3 ten-vertex graph is eligible and non-residual with all six tags favorable and S=-72.,One graph isomorphic to the corrected F2 certificate.,finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/16,"Isomorphic to corrected F2 S=-72 graph, not an independent obstruction."
C1-SYNTHESIS:17:C1-T1-LEAF-BRANCH-IDENTITY,1,C1-T1-LEAF-BRANCH-IDENTITY,proposed_retained,The leaf-support partition gives I(T-v)=I(H)+zI(R) and its exact strict selector and tagged aggregate at all integer ranks.,"Universal finite ordinary-tree identity, no sign conclusion.",unregistered_auxiliary_identity,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_identity,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/17,
C1-SYNTHESIS:18:C1-T2-ALG-IDENTITY,1,C1-T2-ALG-IDENTITY,proposed_retained,"For every original leaf, alpha(H)=alpha(T)-1 and g+Delta_p(T-v)=i_(p+1)(H)-i_(p-1)(H).",Exact all-integer-rank identity; no sign conclusion.,unregistered_auxiliary_identity,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_identity,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/18,
C1-SYNTHESIS:19:C1-T2-ALPHA2-BUDGET,1,C1-T2-ALPHA2-BUDGET,proposed_retained_narrowed,"At p=alpha-2, the displayed coefficient budget is equivalent to g_v<=0 for a selected leaf and would imply S<=0 if it held for all selected leaves.",Conditional pointwise reduction only; budget truth is unresolved.,conditional_reduction,,NO_EXACT_KEY,source_grade_preserved_no_new_award,conditional_identity_only,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/19,"C1 establishes equivalence, not sign. C2 signs eligible primary instances via high-tail proof."
C1-SYNTHESIS:20:C1-T2-BOUNDED-POINTWISE-CHECK,1,C1-T2-BOUNDED-POINTWISE-CHECK,proposed_retained_narrowed,"P501, T125 and four specified order-260 Prüfer fixtures are eligible with no positive selected term and negative complete sums.",Exactly six finite fixtures; four Prüfer rows use one continuous seed stream.,finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/20,
C1-SYNTHESIS:21:C1-T3-01,1,C1-T3-01,proposed_retained,The exact leaf-deletion selector permits all-or-none selection and multiplicity-weighted regrouping at each original support.,Universal ordinary-tree identity at all integer ranks; no sign.,unregistered_auxiliary_identity,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_identity,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/21,
C1-SYNTHESIS:22:C1-T3-02,1,C1-T3-02,proposed_unresolved,The unrestricted eligible-tree complete favorable-leaf sum at p=alpha-2 is nonpositive.,Primary E993-INTERIOR-ALPHA-MINUS-TWO-AGGREGATE.,registered_exact_identity,E993-INTERIOR-ALPHA-MINUS-TWO-AGGREGATE,VERIFIED,exact_primary_governed_award,formally_verified_primary_overlay_with_historical_source_status_preserved,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/22,"Same primary theorem; C1 proposed_unresolved is historical, C2 supplies informal proof."
C1-SYNTHESIS:23:C1-U1-PRIMARY-INTERIOR-AGGREGATE-STATUS,1,C1-U1-PRIMARY-INTERIOR-AGGREGATE-STATUS,proposed_unresolved,The unrestricted primary alpha-minus-two complete-sum inequality remains unresolved.,"Exactly the frozen target, without residuality.",historical_status_report,,NO_EXACT_KEY,source_grade_preserved_no_new_award,unresolved_at_C1,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/23,"Historical status report, not another theorem; canonical OPEN unchanged."
C1-SYNTHESIS:24:C1-U1-SUPPORT-FIBRE-POLYNOMIAL-IDENTITY,1,C1-U1-SUPPORT-FIBRE-POLYNOMIAL-IDENTITY,proposed_retained,"At each support, branch products H_s and R_s give I(T-v)=H_s+zR_s for every tagged leaf, with exact selector, term and lambda_s multiplicity.",All finite ordinary trees and integer ranks; no sign theorem.,unregistered_auxiliary_identity,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_identity,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/24,
C1-SYNTHESIS:25:C1-U2-LOCAL-TOPSHELL-REDUCTION,1,C1-U2-LOCAL-TOPSHELL-REDUCTION,proposed_retained,"For each original leaf, alpha(H)=alpha(T)-1; q_v(j) counts H-independent j-sets hitting the other support neighbors; S=A_p-A_(p-1), with a per-leaf residual split.",Exact frozen-rank identity and classification; no shell comparison.,unregistered_auxiliary_identity,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_identity,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/25,
C1-SYNTHESIS:26:C1-U3-EXACT-COUNT-OBSTRUCTION,1,C1-U3-EXACT-COUNT-OBSTRUCTION,proposed_retained_narrowed,The exact tagged identity S=A_p-A_(p-1) and selector decomposition hold; their sign implication remains open.,Algebraic reduction only; no impossibility or fresh-family-coverage claim.,unregistered_auxiliary_identity,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_identity,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/26,C1 exact tagged-shell identity remains; C2 supplies missing comparison informally.
C2-SYNTHESIS:00:C2-CT-F1-01,2,C2-CT-F1-01,proposed_retained,The high-tail leaf sign and eligible-tree alpha bound compose to the primary nonpositive aggregate in informal mathematics.,"Exactly the primary ordinary-tree first-interior claim as an informal implication, pending governed Lean gate.",registered_exact_identity,E993-INTERIOR-ALPHA-MINUS-TWO-AGGREGATE,VERIFIED,exact_primary_governed_award,formally_verified_primary_overlay_with_historical_source_status_preserved,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/0,
C2-SYNTHESIS:01:C2-CT-F2-LARGE-245-CHECK,2,C2-CT-F2-LARGE-245-CHECK,proposed_retained,"The specified 245-vertex core-plus-pendant-path tree is eligible with alpha=125, x=69, p=123, six favorable original leaves, and complete S=-50595152.",Exactly one specified ordinary 245-vertex tree checked by integer independence-polynomial recursion; bounded finite evidence only.,finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/1,
C2-SYNTHESIS:02:C2-CT-U2-ELIGIBILITY-PROOF,2,C2-CT-U2-ELIGIBILITY-PROOF,proposed_retained_narrowed,Every eligible finite ordinary connected tree at integer p=alpha(T)-2 has alpha(T)>=7. The r27 forest-order-bound route is an informal alternate proof after exact coefficient and strict-first-descent identification; an independent direct Delta_0/Delta_1/Delta_2 tree proof closes the mathematical result without that transport.,"Ordinary finite connected acyclic simple graphs, integer p=alpha(T)-2, strict first descent x, x+2<=p; informal mathematical result only. The r27-to-primary Lean carrier equality is not established here.",registered_exact_identity,E993-INTERIOR-ELIGIBILITY-ALPHA-GE-SEVEN,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/2,Direct C2 coefficient proof establishes mathematical result; historical r27 Lean transport is unproved.
C2-SYNTHESIS:03:C2-CT-U2-TAGGED-SHADOW-PROOF,2,C2-CT-U2-TAGGED-SHADOW-PROOF,proposed_retained,"For finite bipartite H, arbitrary W subset V(H), h=alpha(H), and integer 1<=k<=h, tagged counts obey k*q_(k+1)<=2(h-k)*q_k; this yields the high-tail original-leaf sign under its stated rank guard, with p=1 handled separately.","Finite bipartite simple H, including disconnected H and empty W; independent j-sets meeting W with zero extension; 1<=k<=alpha(H). Leaf corollary for a finite bipartite graph with an original degree-one vertex and integer p>=1 satisfying 3p>=2alpha(G)+1. Informal proof only.",compound_auxiliary_or_composition,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_components_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/3,"Exact tagged bound plus high-tail leaf corollary, including separate p=1 case."
C2-SYNTHESIS:04:C2-CU-F1-01,2,C2-CU-F1-01,proposed_retained,The first-interior eligible ordinary-tree complete favorable-original-leaf sum is nonpositive by the same informal composition.,Exact primary semantic scope with unshifted strict selector and repeated-support multiplicity; no formal award.,registered_exact_identity,E993-INTERIOR-ALPHA-MINUS-TWO-AGGREGATE,VERIFIED,exact_primary_governed_award,formally_verified_primary_overlay_with_historical_source_status_preserved,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/4,
C2-SYNTHESIS:05:C2-CU-F1-02,2,C2-CU-F1-02,proposed_retained,"The path-with-120-arms tree has order 244, alpha 122, p 120, x 81, all 121 original leaves favorable, and complete sum -2292918292728979880759067178983596064240.","One exact eligible finite constructor instance, not a universal proof.",finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/5,
C2-SYNTHESIS:06:C2-F1-01,2,C2-F1-01,proposed_retained,Finite bipartite tagged independent-set counts satisfy k q_(k+1) <= 2(alpha(H)-k) q_k for 1<=k<=alpha(H); the original-leaf binding gives the factor 2(alpha(G)-1-k) while k<=alpha(H).,"Arbitrary finite bipartite H and W, plus finite bipartite degree-one leaf application; empty W, disconnected H, and endpoint rank included.",compound_auxiliary_or_composition,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_components_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/6,Exact tagged-bound component plus original-leaf binding; not full high-tail theorem as worded.
C2-SYNTHESIS:07:C2-F1-02,2,C2-F1-02,proposed_retained,The high-tail degree-one leaf difference Delta_(p-1)(H)-Delta_(p-1)(R) is nonpositive when p>=1 and 3p>=2alpha(G)+1.,"Finite bipartite G, original degree-one vertex, integer p and zero extension; disconnected graphs allowed; no selector or residual premise.",registered_exact_identity,E993-BIPARTITE-LEAF-HIGH-TAIL-POINTWISE,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/7,
C2-SYNTHESIS:08:C2-F1-03,2,C2-F1-03,proposed_retained,Primary eligibility x(T)+2<=alpha(T)-2 forces alpha(T)>=7.,"Finite ordinary connected trees, strict first negative difference and integer p.",registered_exact_identity,E993-INTERIOR-ELIGIBILITY-ALPHA-GE-SEVEN,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/8,
C2-SYNTHESIS:09:C2-F1-04,2,C2-F1-04,proposed_retained,"The five path-with-arms cases m=3,4,5,10,20 have the reported first descents, strict selectors, local terms and complete sums.","Exactly the five finite constructor instances, no universal family inference.",finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/9,"Only five finite m=3,4,5,10,20 rows; positive complete m=3 row is ineligible."
C2-SYNTHESIS:10:C2-F2-ELIGIBILITY-ALPHA-GE-SEVEN,2,C2-F2-ELIGIBILITY-ALPHA-GE-SEVEN,proposed_retained,Primary eligibility for an ordinary connected tree implies alpha at least seven.,"The precise first-interior ordinary-tree guard, with strict descent and zero extension.",registered_exact_identity,E993-INTERIOR-ELIGIBILITY-ALPHA-GE-SEVEN,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/10,Direct proof supports candidate; no r27 Lean carrier assumed.
C2-SYNTHESIS:11:C2-F2-FRESH-ELIGIBLE-ORDER-NINE-REPLAY,2,C2-F2-FRESH-ELIGIBLE-ORDER-NINE-REPLAY,proposed_retained,"The displayed order-nine tree has alpha=7, x=3, p=5, six favorable original tags, and complete S=-56.",One specified finite tree only; no census or universal sign inference.,finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/11,
C2-SYNTHESIS:12:C2-F3-001,2,C2-F3-001,proposed_retained,"The bipartite tagged-shadow inequality holds for all integer k>=1, with zero extension beyond alpha(H), and the original-leaf refinement holds with alpha(G)-1.","All finite bipartite H and W, plus finite bipartite G with degree-one vertex; the nonnegative extension-factor proof is used only through k<=alpha(H).",compound_auxiliary_or_composition,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_components_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/12,"For k>alpha(H), both tagged layers are zero; no negative-factor extension step."
C2-SYNTHESIS:13:C2-F3-002,2,C2-F3-002,proposed_retained,An eligible ordinary connected tree at p=alpha(T)-2 has alpha(T)>=7.,"Exact strict-first-descent, integer-rank tree scope.",registered_exact_identity,E993-INTERIOR-ELIGIBILITY-ALPHA-GE-SEVEN,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/13,
C2-SYNTHESIS:14:C2-F3-003,2,C2-F3-003,proposed_retained,"The tagged bound and eligibility guard imply S(T,alpha(T)-2)<=0 as a complete informal proof candidate.","Unchanged primary ordinary-tree first-interior target, all favorable original leaf tags, exact original support deletions, no residuality; no formal award.",registered_exact_identity,E993-INTERIOR-ALPHA-MINUS-TWO-AGGREGATE,VERIFIED,exact_primary_governed_award,formally_verified_primary_overlay_with_historical_source_status_preserved,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/14,
C2-SYNTHESIS:15:C2-T1-EXACTID-E993-BIPARTITE-TAGGED-SHADOW-BOUND,2,C2-T1-EXACTID-E993-BIPARTITE-TAGGED-SHADOW-BOUND,proposed_retained,"For every finite bipartite simple graph H, arbitrary W subseteq V(H), a=alpha(H), and integer 1<=k<=a, the independent j-set counts q_j meeting W satisfy k*q_(k+1)<=2*(a-k)*q_k.","Exact registered tagged-shadow auxiliary, including disconnected H, empty W, terminal k=a, and integer zero extension; complete informal proof only.",registered_exact_identity,E993-BIPARTITE-TAGGED-SHADOW-BOUND,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/15,
C2-SYNTHESIS:16:C2-T2-INTERIOR-ELIGIBILITY-ALPHA-GE-SEVEN,2,C2-T2-INTERIOR-ELIGIBILITY-ALPHA-GE-SEVEN,proposed_retained,"For every finite ordinary connected tree T, with integer p=alpha(T)-2 and first strict negative forward-difference index x(T), eligibility x(T)+2<=p implies alpha(T)>=7.",Exact ordinary connected-tree eligibility auxiliary; no residual premise or aggregate conclusion; complete informal proof only.,registered_exact_identity,E993-INTERIOR-ELIGIBILITY-ALPHA-GE-SEVEN,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/16,
C2-SYNTHESIS:17:C2-T3-01,2,C2-T3-01,proposed_retained,"For finite bipartite H, arbitrary W subseteq V(H), a=alpha(H), and integer 1<=k<=a, tagged independent-set counts satisfy k*q_(k+1)<=2*(a-k)*q_k.",Same exact bipartite tagged-shadow scope as C2-T1's incoming ID; complete informal proof only.,registered_exact_identity,E993-BIPARTITE-TAGGED-SHADOW-BOUND,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/17,
C2-SYNTHESIS:18:C2-T3-02,2,C2-T3-02,proposed_retained,"If finite bipartite G has a degree-one vertex v with support s, p>=1, and 3p>=2alpha(G)+1, then Delta_(p-1)(G-{v,s})-Delta_(p-1)(G-N_G[s])<=0.","Exact unselected original-leaf sign for finite bipartite simple G under the displayed high-tail guard, with integer zero extension and no connectivity, favorable, or residual premise; complete informal proof only.",registered_exact_identity,E993-BIPARTITE-LEAF-HIGH-TAIL-POINTWISE,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/18,
C2-SYNTHESIS:19:C2-T3-03,2,C2-T3-03,proposed_retained,An eligible finite connected tree with integer p=alpha(T)-2 and first strict descent x(T) has alpha(T)>=7.,Same exact ordinary connected-tree eligibility scope as C2-T2's incoming ID; complete informal proof only.,registered_exact_identity,E993-INTERIOR-ELIGIBILITY-ALPHA-GE-SEVEN,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/19,
C2-SYNTHESIS:20:C2-T3-04,2,C2-T3-04,proposed_retained,"For every finite ordinary connected tree T, with integer p=alpha(T)-2 and x(T)+2<=p, the complete favorable original-leaf aggregate S(T,p) is nonpositive.","Exactly E993-INTERIOR-ALPHA-MINUS-TWO-AGGREGATE: strict selector Delta_p(T-v)<0 at original p, all original leaf tags with multiplicity, no residual premise; complete informal proof pending governed Lean gate.",registered_exact_identity,E993-INTERIOR-ALPHA-MINUS-TWO-AGGREGATE,VERIFIED,exact_primary_governed_award,formally_verified_primary_overlay_with_historical_source_status_preserved,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/20,
C2-SYNTHESIS:21:C2-U1-ELIGIBILITY-ALPHA-LOWER-BOUND,2,C2-U1-ELIGIBILITY-ALPHA-LOWER-BOUND,proposed_retained,Eligibility x(T)+2<=alpha(T)-2 for an ordinary finite connected tree forces alpha(T)>=7.,Finite connected acyclic simple ordinary T; signed zero-extended independent-set differences; x is the least strict negative rank; integer p=alpha(T)-2. Informal proof only.,registered_exact_identity,E993-INTERIOR-ELIGIBILITY-ALPHA-GE-SEVEN,OPEN,source_grade_preserved_no_new_award,proved_informal_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/21,
C2-SYNTHESIS:22:C2-U1-TAGGED-SHADOW-COUNT,2,C2-U1-TAGGED-SHADOW-COUNT,proposed_retained,"For finite bipartite H, arbitrary W, integer a satisfying alpha(H)<=a-1, and integer k>=1, tagged counts satisfy k*q_(k+1)<=2(a-1-k)*q_k with zero extension; for any tree leaf at p=alpha(T)-2 and alpha(T)>=7, its H/R summand is nonpositive.","All finite bipartite H and W, including empty and out-of-range tagged layers, followed by original-leaf specialization in an ordinary finite tree; no selector or residual assumption for the pointwise sign. Informal proof only.",compound_auxiliary_or_composition,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_components_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/22,Parameterized tagged bound implies exact registry bound; tree-leaf corollary is narrower than full high-tail theorem.
C2-SYNTHESIS:23:C2-U2-TRANSPORT-AND-CONDITIONAL-COMPOSITION,2,C2-U2-TRANSPORT-AND-CONDITIONAL-COMPOSITION,proposed_retained_narrowed,"The original-leaf H/R coefficient identities and strict high-tail rank arithmetic correctly transport the proposed tagged and eligibility lemmas to the complete first-interior sum. The two mathematical inputs now have complete informal proofs, while cross-package Lean carrier lemmas and the governed primary gate remain open; r26's top-rank residual theorem does not directly apply.","Ordinary finite connected trees at integer p=alpha(T)-2 with strict x+2<=p, original leaf tags and supports, selector Delta_p(T-v)<0, complete sum with multiplicity. Mathematical finite-set composition only, without a formal carrier award or broader-rank/RTree implication.",compound_auxiliary_or_composition,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_components_formal_gate_pending,cycles/cycle-2/C2-SYNTHESIS/RETURN.json,/claims/23,Informal composition only; cross-package Lean carrier equalities and formal gate remain open.
