cycle,row_id,claim,tier,scope,disposition,provenance,verification_level,dedup_canonical_of,cites_canonical,supersession_chain,correction_note
C1,R23-C1-RANK2-IDENTITY,"g_2(T-{v,s_v}) = C(n-3,2)+deg_T(s_v)-2 for every tree n>=3 and leaf v; registered r20 form equals it iff deg(s_v)=2 iff T-{v,s_v} connected; c(T-{v,s_v})=deg(s_v)-1; forest law i_2(S)=C(i_1(S)-1,2)+c(S)-1",proved_informal,"identity (upgraded from sweep by CRIT-2); MASTER-REGISTRY PROPOSAL ONLY - drafting C2-U5, Ashton-gated",(no controlled disposition field in this cycle's schema; see provenance),CRIT-2; ADJ-T; ADJ-F R-1; SYN RC-04,"unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,"R23-C1-RANK2-IDENTITY -> R23-C2-31 (RC-04) [members: R23-C1-RANK2-IDENTITY, R23-C2-31]",
C1,R23-C1-RTREE-PREMISE,"RTree.semanticAdequacyTarget stated/unproved/unattempted (r11-r18, 12 copies); per-instance adequacy decide-dischargeable (r8 precedent); universal statement is the gap; D9 anchor CLAIM-IDENTITY.json:217",proved_informal,source-textual finding; prices a premise under every actual-tree sentence,(no controlled disposition field in this cycle's schema; see provenance),U2 F2; CRIT-7; ADJ-U; ADJ-T CR-4; SYN RC-11,"unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C1,R23-C1-NUMERIC-CORRECTIONS,Provenance/numeric corrections: order-91 aggregate absent from registry text; order-243 pinned by the audit companions; |P| at n=252 = 1195467554547486049348138233390178770894050423870400 (~1.195e51 not 1.2e54); 280393 not 280392; F6 k=6 deficiency 0 under run convention,computation,exact corrections of record,(no controlled disposition field in this cycle's schema; see provenance),ADJ-T/U; SYN RC-12/RC-13,exact computation,,,"R23-C1-NUMERIC-CORRECTIONS n=252 figure -> R23-C2-35 (provenance-unresolved) [members: R23-C1-NUMERIC-CORRECTIONS, R23-C2-35]",
C2,R23-C2-01,THM_R23_B_bridge1: ((G.C v r).card : ℤ) = (G.iOn (G.Hcarrier v) r : ℤ) − (G.iOn (G.removedClosedNbhdCarrier v) r : ℤ),Lean,"C1-T6 Graph/IsTree encoding; no hypotheses; unrefuted outside trees (forest P3 ⊔ P2, triangle-with-pendants, sentinel branch). Identification with SEMANTIC-CONTRACT §4 BRIDGE-1 on ordinary trees is NOT included — it needs support v = s_v, xOf = x(T), and A1.1","(extracted, best-effort, from provenance prose: retained)",ADJ-T §3 C2-T2 F-1 retained; headline retained_narrowed to C1-T6-encoding scope,sorry-free lemma,,,,
C2,R23-C2-02,"THM_R23_B_bridge2: \P\ − \N\ = S(T,p) at the encoding's ranks",Lean,"as R23-C2-01; hT unused, hp load-bearing only for p ≥ 1 (holds for all p ≥ 1); non-vacuous on governed rows (K_{1,6}, p=5: \|P\|=6, \|N\|=30, S=−24)","(extracted, best-effort, from provenance prose: retained)",ADJ-T §3 C2-T2 F-2 retained; same narrowing,sorry-free lemma,,,,
C2,R23-C2-03,"THM_R23_A re-stated and proved: well-definedness of the §3 data, Delete/Retag totality on their exact domains, every edge lands in N",Lean,"clauses (1),(2),(3),(4a),(5) only. C1 vacuity defect CURED. NOT complete: no multiplicity/simplicity clause, no P/N block-disjointness. Domain inhabitation supplied by a critic (double-broom(3,2), p=4: \|F\|=5, \|P\|=5, \|N\|=21, S=−16)",(no controlled disposition field in this cycle's schema; see provenance),"ADJ-T CR-T-2 (clause (4) narrowed to (4a); charge item ""multiplicity/simplicity"" NOT discharged by T1), §3 C2-T1 F-1…F-8, §5.1",sorry-free lemma,,,,
C2,R23-C2-04,"lc4_retag_domain: for any SimpleGraph G, finite A pairwise non-adjacent, w ∈ A, G.Adj w s ⟹ s ∉ A",Lean,"abstract; faithful to R23-C1-RETAG-DOMAIN; A1.3 used, not re-opened","(extracted, best-effort, from provenance prose: retained)",ADJ-T §3 C2-T3 LC-4 retained; F-1 axiom claim rejected,sorry-free lemma,,,,
C2,R23-C2-05,lc5_delete_domain: the activity characterization (A\{q}) ∩ W = ∅ ↔ A ∩ W = {q} given (A ∩ W).Nonempty,Lean,"that clause alone. The registered ""Dom(Delete) exact"" additionally needs downward-closure of independence and the rank decrement — both trivial, both unformalized and unnamed; hq : q ∈ A unused","(extracted, best-effort, from provenance prose: retained_narrowed)",ADJ-T §3 C2-T3 LC-5 retained_narrowed,sorry-free lemma,,,,
C2,R23-C2-06,"lc6_simple: no multi-edges out of a single source (v,A) with v ∉ A",Lean,abstract Finset scope; v ∉ A is discharged by construction in the actual relation but NOT discharged here. This — not T1's clause (4) — is where the run's simplicity item sits. Cross-source/block-disjointness half open,(no controlled disposition field in this cycle's schema; see provenance),"ADJ-T CR-T-2, D-1 (T1-vs-T3 resolved for T3 at narrowed scope)",sorry-free lemma,,,,
C2,R23-C2-07,lc7_compensation_cross_family_only(_add): the two Lean propositions,Lean,"sound and machine-checked; replayed byte-identically. Identification with R23-C1-COMPENSATION holds only at ι := the tags of N, where hDD/hRR/hDR are discharged by the targets' first coordinate and C(X) = Σ_v \|D(v) ∩ R(v)\|","(extracted, best-effort, from provenance prose: RETAINED)","ADJ-T CR-T-1: propositions RETAINED, identification RETAINED_NARROWED",sorry-free lemma,,,,
C2,R23-C2-08,"REJECTED: LC-7's stated source instantiation (ι := sources of P) and its certification ""the REGISTERED form (registrar-verified 203/203 rows)""",computation,"under the source reading hDR fails on 8,681/8,681 governed rows (orders 3–8), hDD on 336, and the identity itself on 8,681/8,681; smallest hDD witness n=8, p=5, K_{1,6}+pendant — the same rock the two REFUTED compensation forms hit. ""203/203"" restated to 15 non-vacuous rows of 203","(extracted, best-effort, from provenance prose: REJECTED)","ADJ-T CR-T-1 (iii): T3's booked ""cross-source structural debt"" REJECTED — no C3+ seat may cite it",exact computation,,,,
C2,R23-C2-09,"THM-R23-C: all-cut Hall ⇒ injection ⇒ \P\ ≤ \N\ ⇒ S(T,p) ≤ 0, with the all-cut-vs-complete-demand distinction in the statement",proved_informal,conditional on (a) the all-cut hypothesis and (b) BRIDGE-2 only — the THM-R23-A totality dependency is removable. A true conditional with a now-falsified universal antecedent at literal ordinary-tree scope,"(extracted, best-effort, from provenance prose: retained)","ADJ-T §3 C2-T4b retained, dependency narrowed as a strengthening; §2 table","unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C2,R23-C2-10,The mechanism claim and the target claim DO diverge on a governed row — realized,computation,"order 91 (T22), p = 34, the no-branch-center cut; \|X\| = 1,020,660,578,375,268,831,042 > \|Y\| = 1,006,434,057,637,648,542,672 ⊇ Γ(X); deficit 14,226,520,737,620,288,370; S(T,p) = −498,754,180,547,001,418,536 on the same row",(no controlled disposition field in this cycle's schema; see provenance),"ADJ-T CR-T-3 (CRIT-5's OPEN narrowing overruled, recorded correct-at-the-time); ADJ-F §1.2; ADJ-U C-INTAKE-1/2",exact computation,,,,
C2,R23-C2-11,"All-cut Hall is strictly stronger than \P\ ≤ \N\, and false, while the single-cut demand survives",computation,"literal ordinary-tree scope. The mechanism reduction has collapsed onto the target: the surviving statement is S(T,p) ≤ 0, i.e. the O14 row","(extracted, best-effort, from provenance prose: retained)",ADJ-T §2 table retained and demonstrated; ADJ-U U2-D7,exact computation,,,,
C2,R23-C2-12,"The universal Delete-only Hall statement is REFUTED, not open, at literal ordinary-tree scope",computation,a-fortiori from R23-C2-10: Γ_Delete(X) ⊆ Γ_{D∪R}(X) ⊆ Y and \|X\| > \|Y\|. Restricted faces survive — see R23-C2-13/14,(no controlled disposition field in this cycle's schema; see provenance),ADJ-U C-INTAKE-2 (ruled load-bearing on U2-D4); ADJ-F §1.2 confirms the inference,exact computation,,,,
C2,R23-C2-13,"Lemma F1-EXT-1: if every A ∈ C_p(v) has \A ∩ W_v\ ≥ 2, within-tag Delete-only Hall holds at 2p ≥ n−1",proved_informal,"one tag; X entirely multi-witness; p ≥ 2. NOT contradicted by the order-91 witness (2p = 68 < 90 = n−1), arithmetic re-checked by two seats. Upgrade to carry: Delete preserves the tag, so Γ(X) = ⊔_v Γ(X_v) and per-tag Hall for every tag ⟺ Delete-only Hall on all of P","(extracted, best-effort, from provenance prose: retained)",ADJ-F §4.1 F1-1 retained; §7 clause-2 disjunct 1,"unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C2,R23-C2-14,"REJECTED: F1's [proved]-tier ""hard ceiling"" — that single-step-deletion double counting cannot certify Hall below 2p = n−1",computation,"refuted at 2p = n−2 on all twelve round-2 tag rows and at 2p = n−3 on path_15 (x=4, p=6, both leaves favourable, \|C_p(v)\|=21, E = 3 ≤ p−1 = 5). Narrowed survivor (adopt verbatim): ""the witness-multiplicity refinement of this exact single-step double count cannot certify Hall below 2p = n−1 by refining the left (witness-count) factor alone.""",(no controlled disposition field in this cycle's schema; see provenance),"ADJ-F CR-F-1, ADJ-F-3, ADJ-F-4. F1's eight ""exact non-vacuous target"" rows are all closed affirmatively",exact computation,,,,
C2,R23-C2-15,"The named finite obstruction replacing F1's closed rows: is there a structural lower bound on \N(B) \ B\ for active (p−1)-sets B in H_v — equivalently, can E = max_{B ∈ C_{p−1}(v)} #{u : B ∪ {u} ∈ C_p(v)} exceed p−1 on a governed row?",computation,"The answer is YES somewhere (the order-91 witness proves it). Locating the smallest such row is the live question, bracketed between order 17 and order 91",(no controlled disposition field in this cycle's schema; see provenance),ADJ-F CR-F-1 consequential correction; §7 clause-2 disjunct 3; ADJ-F §7 priority 2,exact computation,,,,
C2,R23-C2-16,W_v = ∅ ⟺ the leaf's component is exactly K_2; the degeneracy never reaches F_p(T),proved_informal,"exhaustive over all labeled trees orders 1–8 (280,393 trees / 999,738 leaf instances) + 200 seeded forest trials","(extracted, best-effort, from provenance prose: retained)",ADJ-F §4.2 F2-1 retained; independently re-derived by a critic,"unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C2,R23-C2-17,"TRIVIAL vs ACTIVE empty C_p(v): C1-F2's order-7 witness is TRIVIAL (H_v ≅ P_5, i_4(P_5) = C(2,4) = 0); the first ACTIVE instance is at order 8 (v=1, s_v=7, W_v={5}, i_5(H_v)=1, C_5(v)=∅ by the filter)",proved_informal,"labeled trees (no forest swept exhaustively); favourable v with W_v ≠ ∅; p ∈ [x(T)+2, n+1]. Order-8 minimality IS established for trees by exhaustion over orders ≤ 7 — the route's own hedge understates","(extracted, best-effort, from provenance prose: retained)","ADJ-F §4.2 F2-4 retained — ""the route's strongest and most durable finding""; D-4 resolved for F2","unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C2,R23-C2-18,Cross-component Retag is realized on forests,computation,"components of order 6 and 4, p = 5, edge (v=2,A) → (w=6, A\{w}); witness preserved in hashed evidence","(extracted, best-effort, from provenance prose: retained)",ADJ-F §4.2 F2-6b retained,exact computation,,,,
C2,R23-C2-19,"x(forest) is not bounded by min(x₁,x₂) ≤ x_F ≤ x₁+x₂",computation,"witness K_{1,3} ⊔ P_4: x = 3 > x₁+x₂ = 2. Corrected sequence: 1, 8, 22, 25, 13, 3 (the published i_5 = 0 is wrong; i_5 = i_3(K_{1,3})·i_2(P_4) = 1·3 = 3). Δ = 7,14,3,−12,−10,−3, first strict descent at k = 3 unchanged. The witness's identity is absent from hashed evidence — preserve the failing witness, not the first k","(extracted, best-effort, from provenance prose: retained_narrowed)",ADJ-F §4.2 F2-6d retained_narrowed,exact computation,,,,
C2,R23-C2-20,"Census: max deficiency 0 on all 3,777 nonempty-P rows — full-Hall (König) and tag-closed (literal 2^{\F\}) — over all non-isomorphic trees orders 3–13, p ∈ {x+2, x+3, x+4}; separations_found = 0",computation,"exactly that scope. CAP_P = 5000 never bound (max\|P\| = 1,980). A bounded zero, and now a bounded zero known to sit below a witness order — evidence of nothing","(extracted, best-effort, from provenance prose: retained)",ADJ-F §4.3 F3-3 retained; scope independently confirmed complete,exact computation,,,,
C2,R23-C2-21,"REJECTED as stated: ""no governed row of the literal relation has ever exhibited a Hall-deficient cut of any kind"", up to order 64",computation,"two defects: (i) no Hall computation was run above n = 15; (ii) superseded by R23-C2-10. Retained narrowed form: no Hall-deficient cut was found on any row where a Hall computation was performed — all trees orders 3–13 at p ∈ {x+2,x+3,x+4}, the KK family to n ≤ 15, the twin-hub family to n ≤ 13",(no controlled disposition field in this cycle's schema; see provenance),ADJ-F §4.3 F3-6,exact computation,,,,
C2,R23-C2-22,"F3's question ""does there exist ANY governed row with a Hall-deficient cut at all?"" is well-posed and ANSWERED: YES, at order 91",computation,"C3 successor question, undetermined here: is the order-91 no-branch-center cut tag-closed or mixed? ADJ-F asserts neither — it must be computed, not guessed",(no controlled disposition field in this cycle's schema; see provenance),"ADJ-F §4.3 F3-7 — ""the single highest-value item F3 produced: it named the right question one cycle before the answer arrived""",exact computation,,,,
C2,R23-C2-23,"The Kruskal–Katona hub family's shadow claim holds for every even x ≥ 4, with no ceiling",proved_informal,"closed form (x/2−1)/(x/2+2) → 1. The ""no narrowing trend"" clause is REJECTED: on F3's own sealed data the ratio rises monotonically 0.25 → 0.906 at x_free = 60. Also: at x_free = 10 the tag-v block has \|P_v\| = 120 against \|Γ(P_v)\| = 1,050, five times the shadow — the computed quantity is one tag block's within-tag Delete shadow, not its Hall neighbourhood",(no controlled disposition field in this cycle's schema; see provenance),"ADJ-F §4.3 F3-4 — ""F3 left a provable statement as a bounded computation and then mis-stated the trend in its own favour""","unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C2,R23-C2-24,The r22 P0 pair-overlap capacity route K_pair(S) ≤ A(S) FAILS on 15 actual rows at S = P,computation,"6 double-star + 4 spider + 5 broom rows at p = x(T)+2, ordinary-tree domain under A1.1. Spiders have unique supports — the overpay is not confined to shared-support trees. Threshold is not max d_S(y) alone: Br(3,6) holds (375 ≤ 387) while Br(2,8) fails (1064 > 1000) at the same width. Fence: refutes that capacity route only, at the single cut S = P, on those 15 rows — never Hall, never E993-BETA-AGG, never O14, never TREE/FOREST/TRANSFER, never Erdős #993","(extracted, best-effort, from provenance prose: retained)","ADJ-F §4.6 F6-2/3/4 retained, F6-5 retained — ""the model statement of the cycle""",exact computation,,,,
C2,R23-C2-25,Scope fence on R23-C2-24's rows: F6 computed no matching and no deficiency on any of its 15 rows,computation,"those rows carry NO Hall verdict at all. At S = P, H(S) = \|N\| − \|P\| = −S(T,p) is BRIDGE-2 restated — the Hall inequality at exactly one cut, never Hall support","(extracted, best-effort, from provenance prose: retained_narrowed)",ADJ-F §4.6 F6-5′ retained_narrowed,exact computation,,,,
C2,R23-C2-26,"Handoff bar: any future capacity-style proof routing payment through a subset-indexed nonnegative per-target scheme must clear a bar that fails broadly, with or without shared support, given enough width",computation,now carries non-star corroboration (the spider and broom rows),"(extracted, best-effort, from provenance prose: retained)",ADJ-F §4.6 F6-9 retained; carry into the mathematics-agent handoff,exact computation,,,,
C2,R23-C2-27,Every finite nonempty tree is realized by some RTree (the converse of semanticAdequacyTarget),proved_informal,"rooted parent function via unique paths; Classical.choice for child ordering; strong induction on Fintype.card V. Survived a 126,126-instance attack (all labeled trees n = 1..7 rooted at every vertex, exact edge-set isomorphism, 0 counterexamples) — a bounded zero, evidence of nothing. Must never be cited as ""the converse holds"" without this tier","(extracted, best-effort, from provenance prose: retained_narrowed)",ADJ-F §4.4 F4-3 retained_narrowed; tier assigned by ADJ-F,"unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C2,R23-C2-28,"REJECTED: F4's verdict that both directions of semanticAdequacyTarget are TRUE with ""no located counterexample or obstruction on either side"", and that it is ""not an open mathematical question""",computation,"contradicted by F4's own Findings 1 and 2: two precise obstructions are named in the source (a List ℕ prefix-chain → Mathlib Walk packaging; a closed-walk net-length-change argument), and no argument is given anywhere for the forward direction's Connectivity conjunct. Retained narrowed form: ""no counterexample or mathematical obstruction was located; the source's two named formalization gaps stand; the Connectivity conjunct is asserted, not argued."" Separately: RTree.semanticAdequacyTarget : Prop := ∀ t : RTree, t.toSimpleGraph.IsTree is one-directional — correct phrasing is ""the target statem",(no controlled disposition field in this cycle's schema; see provenance),"ADJ-F §4.4 F4-5, F4-6, F4-2, F4-9",exact computation,,,,
C2,R23-C2-29,SOLUTION-CONTRACT.md §6 mandatory control battery: every named category PASSED; no instrument failed a control; the escalation clause is not triggered,computation,"discharged by independent reproduction (a critic on all eleven headline constants; ADJ-F on five with a from-scratch independence-polynomial DP), not by the battery's own artifacts. Reproduced exactly: T(3,4,4) order-26 (x=8, p=10, 11 favourable, S = −30694; LC deficit 378 at rank 13); K_{1,6} (S = −24, six separate g_v = −4); P30 (x=9, residual [26], Δ₁₀(P28) = −60554, Δ₉(P27) = −48620, sum −109174, x(P26) = 7, Δ₈(P26) = −26962); order-91 (67 favourable, S = −498754180547001418536); order-243 (181 favourable, x = 87, p = x+3); K_{1,3} (f=(1,3,1), g=(1,2,1), g₂=1). hKSCOPE is not assumed anywh",(no controlled disposition field in this cycle's schema; see provenance),ADJ-F §4.5 net ruling + ADJ-F-6. Contested by ADJ-U U6-F6 — see §6.1,exact computation,,,,
C2,R23-C2-30,"REJECTED: F5b's methodological claim that ""the comparison target is read from sealed evidence, never typed from memory"", and make_replay_receipt.py as evidence for byte-identical replay",computation,"the battery contains zero open(, json.load, or hashlib; every target is a module-level literal. The receipt performs no replay — line 58 hardcodes the replayed digest and both byte_identical fields are constants, so any replayer obtains true unconditionally. The numbers are retained on independent execution; the artifacts are not evidence for them",(no controlled disposition field in this cycle's schema; see provenance),"ADJ-F §4.5 F5b-7′, F5b-12; D-8",exact computation,,,,
C2,R23-C2-31,"RC-04 rank-two identity: i_2(T−{v,s_v}) = C(n−3,2) + deg_T(s_v) − 2 for every tree n ≥ 3 and leaf v; guard: the registered form holds iff deg(s_v) = 2 iff T−{v,s_v} is connected; c(T−{v,s_v}) = deg_T(s_v) − 1; forest law i_2(S) = C(i_1(S)−1,2) + c(S) − 1",proved_informal,"all four clauses, 0 failures / 999,736 tree-leaf instances on three independent code paths; and proved, not merely swept: for a forest S on m vertices with c components i_2(S) = C(m,2) − e with e = m − c. Bound object named per A1.2: registered g is i(T−{v,s_v}) (r23's b_v), never i(T−v) (registry f). C1-F4's contrary letter-binding block is excluded by name","(extracted, best-effort, from provenance prose: retained)",ADJ-U §4.5 U5-D2…D6 retained; ADJ-F A1.2 / R-1 concurrence; ADJ-F §4.5 F5b-11,"unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,"R23-C1-RANK2-IDENTITY -> R23-C2-31 (RC-04) [members: R23-C1-RANK2-IDENTITY, R23-C2-31]",
C2,R23-C2-32,"RC-08 premise survives the registry mutation: neither predecessor row is a registry claim_key, and the MINDEF/MINIMAL-DEFICIENT hit list is still empty at 80 claims",computation,"the count ""79"" becomes ""80"" at promotion; the conclusion is unaffected. Characterization preserved as ""textually near-identical up to an added nonemptiness hypothesis and a fixed-relation/relation-set wording difference"" — not ""the same result""","(extracted, best-effort, from provenance prose: retained)","ADJ-U §4.5 U5-D9, U5-D10 retained; R-C2(b)",exact computation,,,,
C2,R23-C2-33,"RC-04b (NEW, alias hazard): E993-R19-FIXED-GAMMA-HALL's alias_patterns entry ""Delete/Retag.Hall"" matches the new REFUTED literal-ordinary-tree row",computation,"verified by direct regex evaluation against the live registry: exactly one such cross-match, and the new row's own three patterns correctly match nothing else. Under monotone refutation precedence + alias-based status import, an automated check can propagate REFUTED from the literal row onto the still-OPEN governed-RTree row and thence toward O14. This is the r23 renamed-claim alias failure mode in its exact registered form. The defect is in the r19 row's over-broad pattern — a master-registry row this run may not edit",(no controlled disposition field in this cycle's schema; see provenance),"ADJ-U C-INTAKE-6 / U5-D11, new at that seat. Ashton-gated proposal. No status moved",exact computation,,,,
C2,R23-C2-34,The order-91 witness row's aggregate carries three-instrument agreement inside this run's own sealed record,computation,"x = 32, 67 favourable, S = −498754180547001418536 — Codex, U6's INSTR-DP, and a critic's independent closed-form INSTR-CF. Narrowing: within U6's own evidence, two-instrument agreement covered I(T) and hence x only; the favourable count and the aggregate were SINGLE-instrument","(extracted, best-effort, from provenance prose: retained_narrowed)","ADJ-U C-INTAKE-5 (positive yield) + U6-F2/F3 retained_narrowed — ""the evidence JSON is honest; the RETURN prose is not""",exact computation,,,,
C2,R23-C2-35,The n=252 \P\ figure in C1-LEDGER.csv row R23-C1-NUMERIC-CORRECTIONS is PROVENANCE-UNRESOLVED,computation,"V = 2·C(178,71) exactly (quotient 2, N = 178 ∈ [4,400)); 251 is prime and V mod 251 = 62 ≠ 0, so V ≠ 251·C(250,p) for any p; with a star's leaf symmetry forcing \|F\| ∈ {0,251}, no plain-star reading at n=252 can produce V (and V mod 252 = 72 ≠ 0 kills the m=252 reading). The separate Cayley leg is CONFIRMED: Σ n^(n−2) over orders 1–8 = 280,393, ""280393 not 280392""","(extracted, best-effort, from provenance prose: rejected)","ADJ-U §4.1 U1-3, §5.2 (U1-vs-U6 no conflict — different legs); one sentence of U1's return rejected as false",exact computation,,,"R23-C1-NUMERIC-CORRECTIONS n=252 figure -> R23-C2-35 (provenance-unresolved) [members: R23-C1-NUMERIC-CORRECTIONS, R23-C2-35]",
C2,R23-C2-36,"Row atlas: 460 (tree,p) instances, 56 relation-bearing, 404 degenerate; BRIDGE-2 exact on all 460, 0 violations; zero Retag-domain exclusions",computation,"paths P_4..P_22, brooms (L,m) L=2..8, m=1..8, n ≤ 22, spiders (3–6 equal legs len 1–5 + 9 asymmetric) n ≤ 22, each at p = x(T)+2+offset, offset 1..8; families broom 34 / spider 13 / path 9; offsets +1:38, +2:15, +3:3. Not a claim about all paths/brooms/spiders, and not a claim toward O14 or the mechanism in either direction. Carries NO Hall data (R23-C2-37)","(extracted, best-effort, from provenance prose: retained)",ADJ-U §4.3 U3-F1/F3/F6/F7 retained,exact computation,,,,
C2,R23-C2-37,Fence on R23-C2-36: the atlas publishes no Hall deficiency verdict and no cut data on any relation-bearing row,computation,"omission is in the safe direction (the O14-relevant value is present, the mechanism value absent — no mechanism kill can be mistaken for an O14 counterexample). The atlas must not be cited downstream as supplying Hall data; its rows are not ""fully inspectable rows"" in the C2-T5 sense. Also rejected: the causal gloss blaming small \|W_v\| — refuted by U3's own sealed spider row, where all four favourable leaves have supports of degree exactly 2, identical to a path, yet the row is relation-bearing at n=13 while paths need n=15",(no controlled disposition field in this cycle's schema; see provenance),"ADJ-U §4.3 U3-F8, U3-F2",exact computation,,,,
C2,R23-C2-38,"Interior-p inspectable rows: three relation-bearing non-star rows with live Retag, plus one empty-relation instance",computation,"DBLBROOM_A (n=13,p=7), BROOM3_A (n=13,p=7), DBLBROOM_B (n=15,p=8); SPIDER_4_3_3 (n=11,p=6) has 0 Delete and 0 Retag edges yet emits the same hall_certificate string — a labelling defect. \|P\|−\|N\| = S: −96, −80, −1, −144. Hall by exhaustive 2^{\|P\|} enumeration, deficiency 0 on the three; vacuous on the fourth. Interior-p machine-enforced; non-star 4/4; shared-support-with-live-Retag 3/3. Bounded zeros at orders 11–15, below order 91 — evidence of nothing. Also rejected: ""F_p(T) nonempty in 2 of 3 cases"" — it is 3 of 3 by the route's own scan report, which makes the finding's point stronger",(no controlled disposition field in this cycle's schema; see provenance),ADJ-T §3 C2-T5 F-1…F-5,exact computation,,,,
