obligation_id,claim,status,provenance
R20-C4-RANK3-FOREST-MAX,"E993-PAIR-RANK3-FOREST-MAX: Rank-3 forest maximum (N8): i_3 <= C(n,3)-(n-c)(n-2)+C(n-c,2), all forests, all (n,c).",verified,r20 C4-GATE-RECORD Sec3 N8
R20-C4-RANK3-FOREST-MIN,"E993-PAIR-RANK3-FOREST-MIN: Rank-3 forest minimum, GENERAL (N9): i_3 >= C(n,3)-(n-c)(n-2)+max(n-2c,0), all forests, all (n,c), no regime restriction.",verified,r20 C4-GATE-RECORD Sec3 N9
R20-C5-FM-LEMMA,"E993-PAIR-FM-LEMMA: Lemma FM (N1): for integer sequences g,r and f:=g (+) shift(r), if M is an argmax of f then r_{M-1}-r_M >= g_{M+1}-g_M. No unimodality/nonnegativity/zero-extension/s-value/realizability hypothesis used. MANDATORY: narrows T2, does not resolve it, silent on T1/R2.",verified,r20 C5-GATE-RECORD Sec3 N1
R20-C5-R-LOGCONCAVE-RATIO-BOUND,"E993-PAIR-R-LOGCONCAVE-RATIO-BOUND: Cleared ratio bound (N2, total, division-free), conditional on r's log-concavity. MANDATORY: does NOT imply T1 in general (degenerates/fails when r_M*c <= b*(b-c)); sharpness attained at a non-degenerate witness.",verified,r20 C5-GATE-RECORD Sec3 N2
R20-C5-EDGE-JOIN-COMPOSITION,"E993-PAIR-EDGE-JOIN-COMPOSITION: Edge-join composition law, PAIR FORM (N3; repaired at r20 C6): for realizable leaf pairs, K2 is the forced atom; every leaf-marked tree reachable by edge-peeling at the support. GENERAL LAW form verified for any two graphs/marked vertices, no leaf/tree/forest/acyclicity hypothesis. FOUR REFUSALS OF RECORD bind (the f' formula, f^(2), MANDATORY CONDITION 2, and the any-two-rooted-graphs scope may none be altered).",verified,r20 C5-GATE-RECORD Sec3 N3; r20 C6-GATE-RECORD Sec0 (repair to the pair form; the C5 text may not be cited)
R20-C5-LOGCONCAVE-DOMINATED-R2-CONJECTURE,"E993-PAIR-LOGCONCAVE-DOMINATED-R2-CONJECTURE: REFUTED CONJECTURE (mechanism fence): 'g,r log-concave, no internal zero, r<=g pointwise, s=-1 implies h has strict unique mode at M+1' is FALSE -- minimal witness g=(1,2,3,3),r=(1); fully non-degenerate witness g=(4,8,10,10),r=(4,2,1). Mechanism tier only, abstract sequence objects with no forest order; NEVER a target event. Registered REFUTED as a fence against re-proposal.",refuted_mechanism,r20 C5-GATE-RECORD Sec1 RUL-R20-C5-1; Sec3
R20-C6-GENERATION-THEOREM,"E993-PAIR-GENERATION-THEOREM: GENERATION THEOREM FOR REALIZABLE TRIPLES: the realizable set is EXACTLY the closure of one atom {K2} under two laws (EDGE-JOIN, DISJOINT-UNION) at EVERY order -- unbounded, re-derived and re-executed (case-2 induction over every neighbour, 20,038/20,038). GENERATIVE, NOT RECOGNITIONAL: OB-R20-REALIZE is explicitly NOT discharged by this row. Five mandatory scope lines bind.",verified,r20 C6-GATE-RECORD Sec1
R20-C7-BROOM-DOMINATION,"E993-PAIR-BROOM-DOMINATION: Broom(m,l) domination theorem (G2, registered at the fourth assembly attempt): for every fixed l>=0 there is a finite M(l) such that for every m>=M(l), the Broom(m,l) sequence h is unimodal. FIXED l ONLY (simultaneous multi-leg growth refutation stands). Strengthened at r20 C8: M(l)=Gamma(l)+1 PROVED for l>=10, honest residue EMPTY.",verified,r20 C7-GATE-RECORD Sec1 N1; r20 C8-GATE-RECORD Sec1 (strengthened)
R20-C8-K2-GRAFT-PRESERVATION,"E993-PAIR-K2-GRAFT-PRESERVATION: K2-graft conditional preservation theorem (the run's one real preservation result, N1): for a leaf-marked forest at the s=-1 stratum with measured quad (1,0,0,2) and weakly unimodal f1,g1,r1,h1 (induction hypothesis), the K2-graft preserves the window box -- margin_B>=1 UNCONDITIONAL at the stratum; margin_A>=0 from the SINGLE named unproved premise P-CASE-I. STRICTLY SUB-CHARTERED: the K2 atom of ONE law, ONE stratum. FIREWALL: never consumes target-implying LEAFDRIFT-01. P-CASE-I: unproved, unrefuted, survived attack at every scope attempted.",conditional,r20 C8-GATE-RECORD Sec0-Sec1 N1
R20-C8-GENERAL-L-DOMINATION,"E993-PAIR-GENERAL-L-DOMINATION: General-L multi-background domination theorem (N2): for every finite nonempty leg multiset L (entries>=1) and every m>=M(L), the Spider(1^m,L) sequence h is dominated/unimodal -- closed by the one-sentence peel alone plus substitution into BROOM-DOMINATION, every link cited, none re-proved. Fixed finite L only; mechanism tier entirely.",verified,r20 C8-GATE-RECORD Sec1 N2
R19-AGG-FAV,"E993-BETA-AGG: the favorable-leaf sum of g_v(T,p) is nonpositive for every governed RTree and p >= x(T)+2",still_open,"r19 Stage 1 exact bounded discrimination and isolated independent replay; universal proof not awarded"
R19-AGG-SUPPORT,"E993-BETA-AGG-SUPPORT: every favorable support fibre has nonpositive total g_v(T,p)",refuted,"r19 exact T_22 order-91 marked singleton support at p=34; controller replay plus isolated forest-DP replay; computation tier"
R19-C1-T1,"E993-BETA-AGG route T1: coefficient-level signed charge or injection",partial,"Stage 3 exact expansion; leaf-tag-preserving charge refuted; retag/Hall mechanism awaits critics"
R19-C1-T2,"E993-BETA-AGG route T2: cross-support compensation or flow",partial,"Stage 3 exact flows for T_22 and T_60; universal tree coupling open"
R19-C1-T3,"E993-BETA-AGG route T3: minimum-first-recovery strict-descent utility",partial,"Stage 3 support dichotomy; rank-to-recovery/common-leaf connector open"
R19-C1-F1,"E993-BETA-AGG route F1: symbolic T_m falsification frontier",partial,"Stage 3 exact scan m<=1000 over 778993 eligible ranks; zero positive aggregate; bounded evidence"
R19-C1-F2,"E993-BETA-AGG route F2: heterogeneous multi-hub adversary",partial,"Stage 3 exact two-hub scan 1024 configurations and 13996 eligible ranks; zero positive aggregate; bounded evidence"
R19-C1-F3,"E993-BETA-AGG route F3: witness-guided graft and prune search",partial,"Stage 3 exact local and scaled-ray searches over 4540 trees; zero positive aggregate; bounded evidence"
R19-C1-U1,"E993-BETA-AGG route U1: transportation primal-dual representation",partial,"Stage 3 exact transport equivalence; unrestricted dual collapses to target"
R19-C1-U2,"E993-BETA-AGG route U2: sign-chamber generating-function representation",partial,"Stage 3 chamber identity; non-increasing-boundary mechanism refuted"
R19-C1-U3,"E993-BETA-AGG route U3: multiplicity-covariance representation",partial,"Stage 3 exact covariance identity; T_m bounded sign evidence only"
R19-C4-FIXED-GAMMA,"E993-R19-FIXED-GAMMA-HALL: every governed fixed Delete/Retag relation satisfies Hall",still_open,"Canonical claim registration 2026-09-07; stronger than E993-BETA-AGG; residual-token cap refuted but Hall itself open"
R19-C4-TM-RATIOS,"E993-R19-TM-RATIO-PACKAGE: R-I R-0 R-star and R-K hold for every m>=1 on their exact ranges",still_open,"Canonical claim registration 2026-09-07; bounded tests and formally verified conditional implication only"
R19-C4-R2-HALL,"E993-R19-R2-HALL-UNIVERSAL: every eligible governed adjacent-rank transition satisfies the frozen radius-two Hall certificate",still_open,"Canonical claim registration 2026-09-07; stronger than and not equivalent to E993-BETA-AGG"
R19-C4-U2-FACES,"E993-R19-U2-UNIVERSAL-FACES: every eligible governed row satisfies S_ORB<=0 and C<=-S_ORB",still_open,"Canonical claim registration 2026-09-07; bounded order-13 evidence and formally verified conditional composition only"
R19-C5-T1,"E993-R19-FIXED-GAMMA-HALL: active-pointed orbit-capacity induction proves Hall or yields a governed deficient cut",still_open,"Cycle 5 route allocation; fixed relation and all prior mechanism fences retained"
R19-C5-T2,"E993-R19-TM-RATIO-PACKAGE: reduced-determinant proof or exact failure of the four all-m ratio inequalities",still_open,"Cycle 5 route allocation; exact T_m family scope only"
R19-C5-T3,"E993-R19-AGG-SLACK-DESCENT: aggregate slack and persistent bad support force a smaller governed bad object",still_open,"Run-local Cycle 5 claim registration; new descent face, not a reopening of either refuted beta claim"
R19-C5-F1,"E993-BETA-AGG: parameterized compensation asymptotics seek a positive global favorable-leaf aggregate",still_open,"Cycle 5 adversarial route; finite null evidence cannot prove the universal target"
R19-C5-F2,"E993-R19-R2-HALL-UNIVERSAL: nonempty-demand radius-two cut falsification",still_open,"Cycle 5 adversarial route; Hall failure is mechanism-only unless the same tuple has positive S_F"
R19-C5-F3,"E993-R19-U2-UNIVERSAL-FACES: corrected all-leaf orbit/covariance census and q>1 adversaries",still_open,"Cycle 5 adversarial route; exact degree-one predicate and all original leaves required"
R19-C5-U1,"E993-R19-U1-BASE-FACE: the exact base-rank aggregate S_F(T,x(T)+2) is nonpositive for every governed RTree",still_open,"Run-local Cycle 5 claim registration; proper subclaim of the aggregate target"
R19-C5-U2,"E993-BETA-AGG: finite compressed edit-state induction distinct from refuted fixed-depth direct profile C_k",still_open,"Cycle 5 unresolved route; state must be frozen before testing and must not encode the target"
R19-C5-U3,"E993-PAIR-G4: corridor alternating-path provenance forces a same-original-leaf endpoint",still_open,"Cycle 5 unresolved route; scalar marginals and assumed diagonal edges remain fenced"
R19-C9-REF-PRUNE,"E993-R19-ROOT-SAFE-PRUNE-TOTALITY: every governed nonbase target-root state admits a connected strict deletion preserving every literal original leaf",refuted_mechanism,"r19 Cycle 9 proved-informal mechanism refutation; canonical identity registered 2026-09-09; does not refute E993-BETA-AGG or Erdős 993"
R19-C9-REF-CORRIDOR,"E993-R19-SUPPORT-LOCKED-CORRIDOR-ADVANCE: a support-locked state system can provide a literal-label-preserving adjacent advance along a positive-length support path",refuted_mechanism,"r19 Cycle 9 proved-informal mechanism refutation; canonical identity registered 2026-09-09; carried provenance remains open"
R19-C9-REF-TRANSPORT,"E993-R19-SUPPORT-PRESERVING-UNIT-TRANSPORT: every governed base-rank row admits exact support-label-preserving unit-token transport",refuted_mechanism,"r19 Cycle 9 computation-tier order-91 mechanism refutation; canonical identity registered 2026-09-09; cross-support transport remains open"
