id,status,evidence_grade,formal_award,canonical_statement,canonical_scope,surviving_premises_json,evidence_refs_json,source_occurrence_count,work_authority,next_action
E993-PAIR-G4,OPEN,,False,Q > 0 for every minimum first-recovery tree (a common leaf with a_p(v) < 0 < a_q(v)),"universal; OB-PAIR-G4/OB-G3, the decisive S4 gap",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-CAND-R18C1T1-3,OPEN,,False,Candidate 3 / S-1: per-remnant band discharge on the branch-remnant expansion (*)/(**) — D>0 on G2∧|U|>=2p-2 is SUFFICIENTLY excluded (not equivalently) by the per-remnant discharge; classification MECHANISM-EQUIVALENT-TO-LAYER-4-AT-A-NEW-SITE,"G2 ∧ |U| >= 2p-2, deg(s)=2 stratum; fireability criterion deg_T(z_j) >= e+t+2-j attached; both named killers fire (92.0%/2.0%)",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-BF-3,OPEN,,False,"BF-3 (missing H-side representation — a design judgment, not a theorem): the remnant expansion Delta_k(W∖g) = Delta_k(U) + sum_j Delta_{k-1}(Rem_j) with branch remnants whose crossing behaviour the hypothesis does not constrain is the named difficulty; the fifth layer's object is a hypothesis-sensitive bound on branch-remnant crossing behaviour, or a genuinely new H-representation avoiding remnants",design brief of record for the fifth representation layer; sequence-shape and root-state-recursion continuations stay refused (F1/F2; reserved I/A/B zone),[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-BETA-AGG,OPEN,,False,"For every governed RTree T and p >= x(T)+2, the sum of g_v(T,p) = b_v(p)-Bgen_{s_v}(p-1) over all original leaves v satisfying a_v(p)<0 is nonpositive",universal favorable-leaf aggregate on the governed RTree model; all p >= x(T)+2; individual positive margins are permitted; this is not the refuted pointwise (beta) claim and cannot be presented as a reopening of E993-BETA-TARGET,[],[],1,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-LAMBDA2-CONJ,OPEN,,False,"Graded certificate conjecture: every tree's independence sequence admits a comonotone mode-centred box certificate with slack 2 and slope <= 1/5 (every block [m-A,m+B] satisfies A <= 3B/2+2 and B <= 3A/2+2) — strictly stronger than unimodality (quantitative two-sided tail domination about the mode)","all finite trees; MEASURED CONJECTURE, not a theorem",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-PAIR-PHISTAR-CLOSURE,OPEN,,False,"THE CLOSURE OBLIGATION (the r20 central open object): for every finite forest F with at least one edge there EXISTS a leaf v such that i(F) is nondecreasing on [0, m-1] and nonincreasing on [m+1, infinity), where m = mode(i(F-v)) (first-argmax) — a two-sided mode-drift-1 bound between i(F) and i(F-v)","all finite forests with an edge; TARGET-IMPLYING (proving it proves FOREST hence TREE); strictly weaker than the full motion conjecture (implied by C1's delta_f conjunct); NOT known to be implied by the target — a genuine intermediate. Falsification signature: a forest where EVERY leaf fails the bound (a mechanism kill of Phi*-closure, never itself a target event)",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-PAIR-MODE-GAP,OPEN,,False,"Measured conjecture: for every tree T and leaf v, |mode(i(T-v)) - mode(i(T-N[v]))| <= 1 (first-argmax)","MEASURED, NOT PROVED — may not be cited as progress on anything",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-PAIR-ALLLEAF-WINDOW,OPEN,,False,"Universal (all-leaves) closure form: for every finite forest F with an edge and EVERY leaf v, last_mode(i(F)) - 1 <= mode_first(i(F-v)) <= mode_first(i(F)) + 1","MEASURED ONLY — exhaustive orders <= 17 (294,178 forests cumulative, 2,337,444 leaf instances, 0 failures; extended by CRIT-T1-F) + 25.4M constructed polynomials; implies E993-PAIR-PHISTAR-CLOSURE; min-working-leaves=2 excluded as a path-family artifact",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-PAIR-LEAFDRIFT-01,OPEN,,False,"Leaf-drift bound: for every forest F with an edge and every leaf v, mode_first(i(F)) - mode_first(i(F-v)) is in {0, +1} (one-sided: the mode never retreats under leaf removal)","MEASURED ONLY — 36.6M instances to order 26 (ADJ-F/CRIT-F2-T amplified populations), opposite-shift adversarial family proved EMPTY at scope; SPLIT: delta_f <= 1 IS the OPEN antecedent of E993-PAIR-C1-IMPLIES-TARGET (target-implying); delta_f >= 0 is discharged by E993-PAIR-MODE-NR conditional on s <= 1",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-PAIR-PLATEAU-LE1,OPEN,,False,Plateau bound: the maximum-level plateau of i(F) has length <= 2 (equivalently: at most two consecutive ranks attain the maximum; plateau-excess never >= 2) for every forest F,"MEASURED ONLY — exhaustive orders <= 17 + 25.4M constructed polynomials, 0 exceptions (CRIT-T1-F barrier hunt)",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-PAIR-NETZERO,OPEN,,False,"Net-zero realizability chain: every known abstract overshoot witness (472 at the tested box) dies under the registered conditions — 116 survive r-unimodality (the hypothesis-aware count), 5 survive r_0 = 1, 0 survive the forest edge count C(p_1,2) - p_2 <= p_1 - 1; the alpha-sandwich is inert in this chain","A BOUNDED ZERO ON ITS FACE — the tested abstract box only (lengths <= 5-ish, small values); evidence of nothing beyond itself; the run's realizability evidence, never proof; growing the box is the standing falsification target",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-R19-FIXED-GAMMA-HALL,OPEN,,False,"For every governed RTree tuple, the exact fixed Delete/Retag relation satisfies Hall's subset inequality.",Universal fixed-Gamma Hall mechanism for the r19 aggregate-beta route; stronger than E993-BETA-AGG; excludes the refuted residual-token capacity cap(y)=D-d_minus(y).,[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-R19-TM-RATIO-PACKAGE,OPEN,,False,"All four adjudicated ratio inequalities R-I, R-0, R-star, and R-K hold for every m>=1 on their exact coefficient ranges and imply the T_m aggregate sign.",The exact r19 T_m special-family ratio package only; does not assert all-tree aggregate beta or termwise negativity.,[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-R19-R2-HALL-UNIVERSAL,OPEN,,False,Every eligible governed adjacent-rank transition satisfies the frozen radius-two Hall capacity inequality on destination-positive supports.,Universal radius-two Hall certificate in r19; strictly stronger than and not equivalent to E993-BETA-AGG.,[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-R19-U2-UNIVERSAL-FACES,OPEN,,False,"For every eligible governed row under the frozen unweighted support-mean convention, S_ORB<=0 and C<=-S_ORB.",The two universal orbit/covariance sign faces used by the r19 conditional composition theorem; stronger than and not equivalent to E993-BETA-AGG.,[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-PAIR-K2-GRAFT-PRESERVATION,CONDITIONAL,,False,"K2-graft conditional preservation theorem (adjudicated measured-quad form, r20 C8): let (F1,v1) be a leaf-marked forest at the s=-1 stratum with measured margin quad (delta_f, plateau_span, margin_A, margin_B) = (1,0,0,2) and f1,g1,r1,h1 weakly unimodal (the structural-induction hypothesis). Then the K2-graft - EDGE-JOIN at its forced atom F2 = K2, i.e. grafting one pendant leaf onto the support - preserves the window box: margin_B(W) >= 1 UNCONDITIONALLY at the stratum, and margin_A(W) >= 0 follows in two lines from the single named premise P-CASE-I (unproved, unrefuted, survived attack at every scope attempted). Constituent proved lemmas on this certificate: the K2-graft closed form g' = (1+x)g1, r' = r1; the identity f' = h1 (W - v1 iso F1: unconditional, every forest, every leaf); the mode-location trichotomy (the new half of the route's Lemma 3); P-SIGN-F struck from the premise set (proved a theorem, f' = h1).","STRICTLY SUB-CHARTERED (C8-GATE-RECORD par.0): the K2 ATOM of ONE law (EDGE-JOIN), ONE stratum (s=-1); an atom instance is not a law - general EDGE-JOIN and DISJOINT-UNION carry no preservation theorem; delta_f=0 carries no theorem. FIREWALL: this restated form never consumes target-implying P-DF01 (= OPEN E993-PAIR-LEAFDRIFT-01); the route face's Corollary carried that breach and is struck of record. Registered CONDITIONAL - the row is not VERIFIED-unconditional and may never be cited without P-CASE-I named.",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1WIDE-NO-SIZE-CAP,OPEN,open_unresolved_no_formal_award,False,The exact G1wide tuple guards imply residual Delta_(p-2) <= 0 without hKL or hKSCOPE,Actual finite trees and separately the binder-for-binder RTree target in the solution contract,[],"[{""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/CLAIMS.json"", ""sha256"": ""781fbbf9c14f59a2eaf4d30ed7717a51a8ca1d663fc722d25c19b27d34028a12""}, {""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/PROOFS.md"", ""sha256"": ""3fd80e3e8079682bbc76c07012999b9e4c8a8064459f605eec79abcbdafc3ecc""}, {""path"": ""control/C2-TERMINAL-MAPPING-v1/OCCURRENCE-MAPPINGS.json"", ""sha256"": ""ca31f4f8fdceede529af5bd0ed91f83b793e32ff848ca52e9d34fab6bcfddf3d""}, {""path"": ""control/C2-TERMINAL-SEMANTIC-REVIEW-v1.json"", ""sha256"": ""be34293e15cb6a39d3e8606c0dd20dc6aef820d7547db86c93493783de61a2a4""}]",13,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1-ALIGN-SUFFICIENT,CONDITIONAL,proved_informal_implication_only_surviving_premises_no_formal_award,False,"If an exact ordinary G1 tuple has a vertex a of U such that max(tau(U-a),tau(U-N_U[a])+1)<=p-2, then Delta_(p-2)(U)<=0.",Full original guards plus existential ALIGN; surviving ALIGN premise explicitly required.,"[""There exists such a vertex a and both full tail onsets satisfy the bound.""]",[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1-EXISTENTIAL-ALIGN,OPEN,open_unresolved_no_formal_award,False,"Every exact ordinary G1 tuple has some vertex a of U with max(tau(U-a),tau(U-N_U[a])+1)<=p-2.",Universal over exact ordinary G1 tuples; existential vertex selection and full deletion tails.,[],"[{""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/CLAIMS.json"", ""sha256"": ""781fbbf9c14f59a2eaf4d30ed7717a51a8ca1d663fc722d25c19b27d34028a12""}, {""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/PROOFS.md"", ""sha256"": ""3fd80e3e8079682bbc76c07012999b9e4c8a8064459f605eec79abcbdafc3ecc""}, {""path"": ""control/C2-TERMINAL-MAPPING-v1/OCCURRENCE-MAPPINGS.json"", ""sha256"": ""ca31f4f8fdceede529af5bd0ed91f83b793e32ff848ca52e9d34fab6bcfddf3d""}, {""path"": ""control/C2-TERMINAL-SEMANTIC-REVIEW-v1.json"", ""sha256"": ""be34293e15cb6a39d3e8606c0dd20dc6aef820d7547db86c93493783de61a2a4""}]",2,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1-PRESCRIBED-RECOVERY-LIFT,OPEN,open_unresolved_no_formal_award,False,"For every finite ordinary forest F and integer recovery rank r with x(F)<r and Delta_r(F)>0, there is an ordinary handle tree T with residual isomorphic to F, x(T)=r+1 and Gamma<0 at p=r+2.",Universal prescribed forest/rank pair lifting; original neighborhoods and full graph/count transport.,[],"[{""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/CLAIMS.json"", ""sha256"": ""781fbbf9c14f59a2eaf4d30ed7717a51a8ca1d663fc722d25c19b27d34028a12""}, {""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/PROOFS.md"", ""sha256"": ""3fd80e3e8079682bbc76c07012999b9e4c8a8064459f605eec79abcbdafc3ecc""}, {""path"": ""control/C2-TERMINAL-MAPPING-v1/OCCURRENCE-MAPPINGS.json"", ""sha256"": ""ca31f4f8fdceede529af5bd0ed91f83b793e32ff848ca52e9d34fab6bcfddf3d""}, {""path"": ""control/C2-TERMINAL-SEMANTIC-REVIEW-v1.json"", ""sha256"": ""be34293e15cb6a39d3e8606c0dd20dc6aef820d7547db86c93493783de61a2a4""}]",2,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1-PRESCRIBED-LIFT-IMPLIES-FOREST,CONDITIONAL,proved_informal_implication_only_surviving_premises_no_formal_award,False,"If the universal prescribed-recovery lift holds and ordinary G1 holds, then every ordinary finite forest is weakly unimodal.",Logical implication retaining both antecedents; uses the positive-difference size theorem.,"[""E993-G1-PRESCRIBED-RECOVERY-LIFT"", ""ordinary scope of E993-G1WIDE-NO-SIZE-CAP""]",[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-FOREST-IMPLIES-ORDINARY-G1,CONDITIONAL,proved_informal_implication_only_surviving_premises_no_formal_award,False,"If every finite ordinary forest is weakly unimodal, then every exact ordinary G1 tuple satisfies its residual sign; equivalently by contraposition, any ordinary G1 counterexample has a nonunimodal residual forest.",One-way conjecture implication; retains FOREST antecedent; no RTree representation conclusion.,"[""E993-TGT-FOREST""]","[{""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/CLAIMS.json"", ""sha256"": ""781fbbf9c14f59a2eaf4d30ed7717a51a8ca1d663fc722d25c19b27d34028a12""}, {""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/PROOFS.md"", ""sha256"": ""3fd80e3e8079682bbc76c07012999b9e4c8a8064459f605eec79abcbdafc3ecc""}, {""path"": ""control/C2-TERMINAL-MAPPING-v1/OCCURRENCE-MAPPINGS.json"", ""sha256"": ""ca31f4f8fdceede529af5bd0ed91f83b793e32ff848ca52e9d34fab6bcfddf3d""}, {""path"": ""control/C2-TERMINAL-SEMANTIC-REVIEW-v1.json"", ""sha256"": ""be34293e15cb6a39d3e8606c0dd20dc6aef820d7547db86c93493783de61a2a4""}]",0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1-NONTRS2-CORE-REDUCTION,CONDITIONAL,proved_informal_implication_only_surviving_premises_no_formal_award,False,"For an ordinary finite forest F, if the coefficient product of all its nonTRS2 component occurrences is weakly unimodal, then F is weakly unimodal and its differences are nonpositive at/after x; hence the original G1 target holds whenever U=F.",Pointwise conditional core theorem; empty core product is [1]; all LC factors have positive interval support; exact ordinary component counts required.,"[""The entire nonTRS2 component product is weakly unimodal.""]",[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1-ORDINARY-RTREE-TRANSPORT,OPEN,open_no_proof_no_formal_award,False,"Supply a complete representation and invariant-transport chain sufficient for the specific proposed ordinary/RTree G1 theorem transfer, including treehood, vertices/adjacency, independent-set counts, isomorphism, deletions, original neighborhoods, crossing and any K_A binder used.",Only the representation direction actually needed by a frozen target; no gratuitous universal two-way encoding requirement.,[],"[{""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/CLAIMS.json"", ""sha256"": ""781fbbf9c14f59a2eaf4d30ed7717a51a8ca1d663fc722d25c19b27d34028a12""}, {""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/PROOFS.md"", ""sha256"": ""3fd80e3e8079682bbc76c07012999b9e4c8a8064459f605eec79abcbdafc3ecc""}, {""path"": ""control/C2-TERMINAL-MAPPING-v1/OCCURRENCE-MAPPINGS.json"", ""sha256"": ""ca31f4f8fdceede529af5bd0ed91f83b793e32ff848ca52e9d34fab6bcfddf3d""}, {""path"": ""control/C2-TERMINAL-SEMANTIC-REVIEW-v1.json"", ""sha256"": ""be34293e15cb6a39d3e8606c0dd20dc6aef820d7547db86c93493783de61a2a4""}]",0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-RECOVERING-FOREST-MINIMALITY-DELETION,CONDITIONAL,proved_informal_implication_only_surviving_premises_no_formal_award,False,"If an ordinary finite forest F is minimum in vertex count among all recovering forests, then every recovery rank k satisfies k<max(x(F-a),x(F-N_F[a])+1) for every vertex a.","Minimal among all recovering forests, not only connected trees or ambient G1 examples.","[""Existence of a recovering forest and minimum order among all recovering forests.""]",[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1-MINIMUM-TREE-COUNTEREXAMPLE-MULTICORE,CONDITIONAL,proved_informal_implication_only_surviving_premises_no_formal_award,False,"If T is a minimum-order counterexample to ordinary TREE unimodality and T has a failing exact G1 tuple, its residual has at least two nonLC component occurrences.","Minimum among TREE counterexamples, plus a failing G1 tuple on that same tree.","[""Minimum-order TREE counterexample T."", ""A failing exact G1 tuple on T.""]",[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1-MINIMUM-TREE-K25-SIZE,CONDITIONAL,proved_informal_implication_only_surviving_premises_no_formal_award,False,"Under the preceding minimum-TREE and failing-G1 premises, and the additional ordinary K25 hypothesis that every tree of order<=25 is LC, |U|>=52 and |T|>=56.",Exact ordinary K25 conditional size bound; two components may share one gateway.,"[""Minimum-order TREE counterexample T with failing G1 tuple."", ""Ordinary K25.""]",[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1-MATCHING-COMPARATOR-SUFFICIENT,CONDITIONAL,proved_informal_implication_with_surviving_premises_no_formal_award,False,"For every finite ordinary graph U, every natural r>=0 and every actual matching of size m in U, writing n=|U| and P=(1+2z)^m*(1+z)^(n-2m), P_(r+1)<=P_r implies Delta_r(U)<=0. Apply r=p-2 to the exact ordinary G1 guards.",Conditional application of C2-P10; actual matching and nonpositive comparator step are both explicit. Past comparator degree counts vanish.,"[""A matching of size m is actually present in U."", ""For P=(1+2z)^m*(1+z)^(n-2m), P_(r+1)<=P_r at the tested rank."", ""This certifies a graph sign only when the numerical comparator condition holds; full G1 guards do not imply that condition.""]","[{""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/CLAIMS.json"", ""sha256"": ""781fbbf9c14f59a2eaf4d30ed7717a51a8ca1d663fc722d25c19b27d34028a12""}, {""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/PROOFS.md"", ""sha256"": ""3fd80e3e8079682bbc76c07012999b9e4c8a8064459f605eec79abcbdafc3ecc""}, {""path"": ""control/C2-TERMINAL-MAPPING-v1/OCCURRENCE-MAPPINGS.json"", ""sha256"": ""ca31f4f8fdceede529af5bd0ed91f83b793e32ff848ca52e9d34fab6bcfddf3d""}, {""path"": ""control/C2-TERMINAL-SEMANTIC-REVIEW-v1.json"", ""sha256"": ""be34293e15cb6a39d3e8606c0dd20dc6aef820d7547db86c93493783de61a2a4""}]",1,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-ORDINARY-G1-IMPLIES-FOREST,OPEN,open_unresolved_no_formal_award,False,"If unrestricted ordinary G1 holds, then every ordinary finite forest is weakly unimodal.",Open converse direction to the registered FOREST=>G1 implication; does not assert either conjecture.,[],"[{""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/CLAIMS.json"", ""sha256"": ""781fbbf9c14f59a2eaf4d30ed7717a51a8ca1d663fc722d25c19b27d34028a12""}, {""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/PROOFS.md"", ""sha256"": ""3fd80e3e8079682bbc76c07012999b9e4c8a8064459f605eec79abcbdafc3ecc""}, {""path"": ""control/C2-TERMINAL-MAPPING-v1/OCCURRENCE-MAPPINGS.json"", ""sha256"": ""ca31f4f8fdceede529af5bd0ed91f83b793e32ff848ca52e9d34fab6bcfddf3d""}, {""path"": ""control/C2-TERMINAL-SEMANTIC-REVIEW-v1.json"", ""sha256"": ""be34293e15cb6a39d3e8606c0dd20dc6aef820d7547db86c93493783de61a2a4""}]",3,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-G1-VARYING-POWER-FAMILY-EMBEDDING,OPEN,open_unresolved_no_formal_award,False,"For every positive integer k there exists an exact ordinary G1 tuple whose residual U is isomorphic to the disjoint union of k copies of B_(k+6), where B_a has a center joined to three hubs each carrying a pendant two-edge arms.","Existence of all original handle and numerical guards with p=x(T)+1; no target-sign conclusion asserted and no prescribed ambient order or fixed wrapper assumed. Finite k1,2,3,5,8 examples alone do not prove this quantifier.",[],"[{""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/CLAIMS.json"", ""sha256"": ""781fbbf9c14f59a2eaf4d30ed7717a51a8ca1d663fc722d25c19b27d34028a12""}, {""path"": ""cycles/cycle-2/stage6/C2-SYNTHESIS/PROOFS.md"", ""sha256"": ""3fd80e3e8079682bbc76c07012999b9e4c8a8064459f605eec79abcbdafc3ecc""}, {""path"": ""control/C2-TERMINAL-MAPPING-v1/OCCURRENCE-MAPPINGS.json"", ""sha256"": ""ca31f4f8fdceede529af5bd0ed91f83b793e32ff848ca52e9d34fab6bcfddf3d""}, {""path"": ""control/C2-TERMINAL-SEMANTIC-REVIEW-v1.json"", ""sha256"": ""be34293e15cb6a39d3e8606c0dd20dc6aef820d7547db86c93493783de61a2a4""}]",1,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
