claim_id,status,registered_statement,registered_scope,evidence_grade
E993-BF-2,VERIFIED,"BF-2 (vocabulary sharpness, strengthened form): the layer sees U only through (|U|, i_j(U)); the edgeless vector on m=2p-2 vertices has G2 shape with D>0 for every p>=3; the first out-of-band shell is realized by sealed hypothesis instances with D>0 (3 instances, |U|=2p-2, D=14, order 16, p=6; grown to 6 distinct trees, first above order 16, first at p=7, per r18 C1 F2-22); closing past 2p-3 requires structure the fence-legal vocabulary does not expose, or H","binding on every (|U|, i_j(U))-only refinement",see_certificate
E993-BF-3,OPEN,"BF-3 (missing H-side representation — a design judgment, not a theorem): the remnant expansion Delta_k(W∖g) = Delta_k(U) + sum_j Delta_{k-1}(Rem_j) with branch remnants whose crossing behaviour the hypothesis does not constrain is the named difficulty; the fifth layer's object is a hypothesis-sensitive bound on branch-remnant crossing behaviour, or a genuinely new H-representation avoiding remnants",design brief of record for the fifth representation layer; sequence-shape and root-state-recursion continuations stay refused (F1/F2; reserved I/A/B zone),see_certificate
E993-EXCHANGE-LEMMA,VERIFIED,"Exchange Lemma (sorted-domination): some peeling order makes all t branch remnants band-eligible iff the sorted-decreasing {deg_T(z_j)} dominates the decreasing threshold ladder (k_shell+t+1,...,k_shell+2); floor consequence min_j deg_T(z_j) >= k_shell+2","any tree, deg(s)=2 stratum, any t, any k_shell; premise-free combinatorial criterion",see_certificate
E993-BF2-EVERY-E,VERIFIED,"Every-e vocabulary-extremal form: the edgeless vector on m = 2p-2+e vertices has G2 shape with D(p,e) = C(2p-2+e,p-1) - C(2p-2+e,p-2) > 0 for every p >= 3 and every e >= 0; the shadow-ratio slack (p+e)/(p-1) is strictly increasing in e, and D(p,e) itself is strictly increasing in e (adjudicator strengthening)","generalizes E993-BF-2's m = 2p-2 (e=0) registered scope to every shell offset; the vocabulary obstruction deepens, never relaxes, with e",see_certificate
E993-QUADRATIC-FLOOR,VERIFIED,"Quadratic floor for all-remnants-band-eligible at the deg_T(s)=2 stratum: n >= 3 + t(k_shell+2) + C(t,2), equivalently 2p >= 2 - k_shell + t(k_shell+1) + C(t,2); composition of E993-EXCHANGE-LEMMA with the branch-order bound n >= 3 + Sum deg_T(z_j) (derivation R18C2-T1.md:345-356, cited on this face)","deg_T(s)=2 stratum, any t, any k_shell; NO confinement claim; NO R-20/GATE-2 relevance (bounds the J_1-empty case, not the J_0-nonempty firing case); symbols: k_shell := |U| - (2p-2), Rem_j branch remnants, C2 route numbering",see_certificate
E993-EXCHANGE-LEMMA-SEQ,VERIFIED,"Abstract-sequence counting form of the sorted-domination criterion: for a strictly antitone threshold ladder, the counting form of domination holds iff the sorted-decreasing degree sequence dominates the ladder (Lean exchangeLemma_dominationCriterion, R18C4T3)","abstract sequences ONLY — severed from the tree-bound parent E993-EXCHANGE-LEMMA (n : N free; z, Rem unconstrained; no instance antecedents); hr StrictAnti load-bearing, hd inert (MUT-hd); the counting-form <=> sorted-domination step is kernel-checked by NO ONE",see_certificate
E993-BETA-AGG,OPEN,"For every governed RTree T and p >= x(T)+2, the sum of g_v(T,p) = b_v(p)-Bgen_{s_v}(p-1) over all original leaves v satisfying a_v(p)<0 is nonpositive",universal favorable-leaf aggregate on the governed RTree model; all p >= x(T)+2; individual positive margins are permitted; this is not the refuted pointwise (beta) claim and cannot be presented as a reopening of E993-BETA-TARGET,see_certificate
E993-BETA-AGG-SUPPORT,REFUTED,"For every governed RTree T and p >= x(T)+2, each support fibre has nonpositive total g_v(T,p) over its original leaves satisfying a_v(p)<0","universal per-support favorable-leaf aggregate on the governed RTree model; distinct from both the global aggregate E993-BETA-AGG and the refuted pointwise E993-BETA-TARGET r29 Cycle 1 (2026-09-25) scope note: distinct from the r29 high-tail keys: the registered refutation witnesses fail 3p ≥ 2α + 1 (a theorem given E993-BIPARTITE-LEAF-HIGH-TAIL-POINTWISE, not a data check); E993-BIPARTITE-TAGGED-SHADOW-BOUND is a size-restricted incidence count whose constants k and 2(a − k) are incomparable with the refuted per-set bound. Status REFUTED unchanged.",see_certificate
E993-CERT-WINDOW-LB,VERIFIED,"Certificate-window lower bound: for every tree T, any sound common-peak certificate (the complete sound family for symmetric-unimodal-block decompositions) has centre drift S(T) >= |alpha(T) - 2*mode(T)|; on paths mode/alpha -> ~0.5528 so the required window grows linearly. CONSEQUENCE: no fixed-window symmetric-unimodal certificate scheme exists for trees",all finite trees; the comonotone mode-centred box certificate attains S(T) exactly (optimality proved),see_certificate
E993-LAMBDA2-CONJ,OPEN,"Graded certificate conjecture: every tree's independence sequence admits a comonotone mode-centred box certificate with slack 2 and slope <= 1/5 (every block [m-A,m+B] satisfies A <= 3B/2+2 and B <= 3A/2+2) — strictly stronger than unimodality (quantitative two-sided tail domination about the mode)","all finite trees; MEASURED CONJECTURE, not a theorem",see_certificate
E993-PAIR-WINDOW-THM,VERIFIED,"THE WINDOW THEOREM: for nonnegative zero-extended-unimodal integer sequences f, g with h = f + shift(g) (the leaf-recursion sum), h is unimodal iff the window (h_a,...,h_b) with a = min(m_f, m_g+1), b = max(m_f, m_g+1) is unimodal; sound AND complete on that domain; the nonnegativity clause is load-bearing (witness f=[0,-1], g=[0,0]); convention-independent (any maximizer). Companion facts: gap = |delta_g - delta_f - 1| <= 2; the <=2-point-window condition is one object under three C1 names",general sum algebra on the stated domain; single recursion step only — says nothing about iterated closure,see_certificate
E993-PAIR-PHISTAR,VERIFIED,"PHI-STAR soundness theorem: if g is nonnegative zero-extended-unimodal, f0 >= 0, and m is ANY maximizer of f, then h = f + shift(g) nondecreasing on [0, m-1] and nonincreasing on [m+1, infinity) implies h unimodal; f need NOT be unimodal (consumes the FOREST face only); convention-independent",the predicate Phi* and its soundness at the stated domain; the CANDIDATE aspect lives entirely in E993-PAIR-PHISTAR-CLOSURE,see_certificate
E993-PAIR-PHISTAR-CLOSURE,OPEN,"THE CLOSURE OBLIGATION (the r20 central open object): for every finite forest F with at least one edge there EXISTS a leaf v such that i(F) is nondecreasing on [0, m-1] and nonincreasing on [m+1, infinity), where m = mode(i(F-v)) (first-argmax) — a two-sided mode-drift-1 bound between i(F) and i(F-v)","all finite forests with an edge; TARGET-IMPLYING (proving it proves FOREST hence TREE); strictly weaker than the full motion conjecture (implied by C1's delta_f conjunct); NOT known to be implied by the target — a genuine intermediate. Falsification signature: a forest where EVERY leaf fails the bound (a mechanism kill of Phi*-closure, never itself a target event)",see_certificate
E993-PAIR-MODE-GAP,OPEN,"Measured conjecture: for every tree T and leaf v, |mode(i(T-v)) - mode(i(T-N[v]))| <= 1 (first-argmax)","MEASURED, NOT PROVED — may not be cited as progress on anything",see_certificate
E993-PAIR-C1-IMPLIES-TARGET,VERIFIED,Implication of record: contract-C1 (the motion-table bound delta_f <= 1) over forest-leaf pairs implies E993-TGT-FOREST hence E993-TGT-TREE; bridge fact x(T) = last_mode(i(T)) (the crossing index IS the last mode),the IMPLICATION and the bridge fact; the antecedent (C1 universally) is OPEN and may not be cited as established,see_certificate
E993-PAIR-ALLLEAF-WINDOW,OPEN,"Universal (all-leaves) closure form: for every finite forest F with an edge and EVERY leaf v, last_mode(i(F)) - 1 <= mode_first(i(F-v)) <= mode_first(i(F)) + 1","MEASURED ONLY — exhaustive orders <= 17 (294,178 forests cumulative, 2,337,444 leaf instances, 0 failures; extended by CRIT-T1-F) + 25.4M constructed polynomials; implies E993-PAIR-PHISTAR-CLOSURE; min-working-leaves=2 excluded as a path-family artifact",see_certificate
E993-PAIR-LEAFDRIFT-01,OPEN,"Leaf-drift bound: for every forest F with an edge and every leaf v, mode_first(i(F)) - mode_first(i(F-v)) is in {0, +1} (one-sided: the mode never retreats under leaf removal)","MEASURED ONLY — 36.6M instances to order 26 (ADJ-F/CRIT-F2-T amplified populations), opposite-shift adversarial family proved EMPTY at scope; SPLIT: delta_f <= 1 IS the OPEN antecedent of E993-PAIR-C1-IMPLIES-TARGET (target-implying); delta_f >= 0 is discharged by E993-PAIR-MODE-NR conditional on s <= 1",see_certificate
E993-PAIR-MODE-NR,VERIFIED,"Theorem NR: for nonnegative zero-extended-unimodal f, g with mode(g) >= mode(f) - 1: mode(h) >= mode(f), where h = f + shift(g)",general sum algebra at the stated domain; reduction live for TREES only (s-hypothesis unmet on part of the forest face),see_certificate
E993-PAIR-MODE-D1,VERIFIED,"Theorem D1: for nonnegative zero-extended-unimodal f, g with mode(g) <= mode(f): mode(h) <= mode(f) + 1","general sum algebra; REDUCTION-REFUTED NOTE ON THE FACE: the hypothesis s >= 0 is FALSE on the 669 realizable s=-1 pairs (orders <= 14), so this theorem contributes nothing to delta_f <= 1 on that stratum",see_certificate
E993-PAIR-PLATEAU-LE1,OPEN,Plateau bound: the maximum-level plateau of i(F) has length <= 2 (equivalently: at most two consecutive ranks attain the maximum; plateau-excess never >= 2) for every forest F,"MEASURED ONLY — exhaustive orders <= 17 + 25.4M constructed polynomials, 0 exceptions (CRIT-T1-F barrier hunt)",see_certificate
E993-PAIR-UNION-MODE,VERIFIED,"Union-mode guardrail: component-mode additivity under disjoint union is FALSE and unboundedly so; the exact single-family law is mode_first((1+cx)^k) = ceil((ck-1)/(c+1)) for integer c >= 1, k >= 1 (at c=2: floor((2k+1)/3)); mixed families (1+x)^p (1+2x)^q are pinned by Darroch's mean-mode bound","proved (ratio test + Darroch); the registered DISCOVERY is the guardrail, not the classical formula (CRIT-F2-T's framing adopted)",see_certificate
E993-PAIR-ALPHA-SANDWICH,VERIFIED,Alpha sandwich for realizable pairs: alpha(i(F-N[v])) <= alpha(i(F-v)) <= alpha(i(F-N[v])) + 1,"realizable tree/forest leaf pairs; proved (C1 stage-6 derivation, promoted at the C2 close because load-bearing: kills the exhibited abstract-retreat witnesses)",see_certificate
E993-PAIR-R1,VERIFIED,"Theorem R1 (pure sum-algebra form): for nonnegative zero-extended-unimodal g, r with f = g + shift(r), if mode_first(g) = mode_first(f) + 1 (the s = -1 configuration) then mode_first(r) <= mode_first(f) - 1","sum algebra only (f's unimodality struck as unused — the WINDOW-THM non-minimality lesson); forest-facing use rides the OB-R20-SCHEME vertex-count order (debt discharged by amendment, C3-GATE-RECORD §4)",see_certificate
E993-PAIR-R2-GAP,VERIFIED,"The proved gap characterization at s = -1: (iff-lemma, unconditional) delta_f <= 1 iff h_{M+2} <= max(h_M, h_{M+1}); and the gap equals R2 OR R2-prime EXACTLY, where R2: r_M - r_{M+1} >= g_{M+2} - g_M (R2 is the h_{M+1}-branch of the max and R2-prime the h_M-branch; corrected r20 C4 per X2, two independent derivations) — each disjunct one branch of the max","the characterization is PROVED; whether R2-or-R2-prime HOLDS on all realizable pairs is the OPEN remainder (it is exactly what E993-PAIR-PHISTAR-CLOSURE needs at s = -1); R2 alone is sufficient-not-necessary (568 abstract failures, 96 with delta_f <= 1 — all 96 die under realizability normalization; an abstract-box fact); 'equivalent to overshoot' is BLOCKED as false",see_certificate
E993-PAIR-NETZERO,OPEN,"Net-zero realizability chain: every known abstract overshoot witness (472 at the tested box) dies under the registered conditions — 116 survive r-unimodality (the hypothesis-aware count), 5 survive r_0 = 1, 0 survive the forest edge count C(p_1,2) - p_2 <= p_1 - 1; the alpha-sandwich is inert in this chain","A BOUNDED ZERO ON ITS FACE — the tested abstract box only (lengths <= 5-ish, small values); evidence of nothing beyond itself; the run's realizability evidence, never proof; growing the box is the standing falsification target",see_certificate
E993-PAIR-STAR-CLOSURE,VERIFIED,"Closure proved exactly for stars: K_{1,m} satisfies the all-leaf window bound for every m, with mode floor(m/2) (m=1 exception noted) and the Catalan-slack identity C(2t,t) - C(2t,t-1) = Catalan_t for t >= 3","the star family exactly; NEAR-STARS Broom(m,2): the peak-location premise is PROVED UNCONDITIONALLY at r20 C5 on two independent routes, either sufficing - Route A (F lane): closed-form gap identities in both parities, rise D(2s,s+1)-D(2s,s)=C(2s,s)/(s+1) and 4C(2s+1,s+1)/(s+2) (route R20C5-F2), fall C(2s,s)(5s+4)/((s+1)(s+2)) and 2C(2s+1,s+1)/(s+2) (CRIT-F2-T and CRIT-F2-U independently and identically - credit JOINT AND EQUAL; adjudicated ADJ-F F2-2), closing mode(D(m,.)) = floor(m/2)+1 for every m >= 0 with unimodality from the explicit factorization (1+x)^m(1+2x) (a factorization, not a citation - RUL-R20-C4-8 not engaged); Route B (T lane): the same by the binomial-ratio trichotomy on D(m,k) = C(m+1,k)+C(m,k-1) (R20C5-T2; re-derived by both its critics and ADJ-T), no log-concavity or real-rootedness used. The R20C3-T2.md Sec3.2 dependency (whose claimed Sec6.1 receipt does not exist) and the m<=800 bound are RETIRED; the CONDITIONAL qualifier is STRUCK. deg D(m,.) = m+1, not m+2. IMPORT STATUS (r20 C6, supersedes the C5 line): the chartered R20C4-T2 import is DISCHARGED - the six finite cases m=0..5 are exhibited on the R20C6-T2 face and re-executed byte-identical on four independent instruments, and the m>=4 closure is supplied by R20C6-CRIT-T2-U M-1 from the full-row shape theorem plus integrality alone (no M(2), no three-zone argument, no R20C5-T2 citation). 'FULLY PROVED, both parts, for every m>=0, standing alone' may be written ONLY on the COMPOSITE (R20C6-T2 pars.1.3/1.4/1.6 + CRIT-T2-U M-1) and NEVER on the R20C6-T2 face as sealed (which discharged one import while introducing an undisclosed R20C5-T2 Sec2.2 import). AVAILABLE, NOT YET ASSEMBLED: R20C5-T2 Sec1.5 + Sec2.2 at l=2 (M(2)=6) prove the lemma import-free for every m >= 6, leaving exactly six finite cases m=0..5 for a successor. COMBS: three independent computations of record (338 of 900, first at k=3, k=3 witness; the original route receipt's wrong-object provenance defect stands as recorded); brooms/spiders (m,l <= 70): measured; the general spider closed form (E993-PAIR-SPIDER-CLOSED-FORM) now subsumes the proved core",see_certificate
E993-PAIR-PATH-CLOSURE,VERIFIED,"Closure proved exactly for paths: P_n satisfies the all-leaf window bound for every n (infinite family), incl. path log-concavity via the elementary factorial identity",the path family exactly; the run's strongest single family result,see_certificate
E993-PAIR-ALPHA-FLOOR,VERIFIED,"Alpha floor: for every forest F on n vertices, alpha(F) >= ceil(n/2) - a forest is bipartite, so the larger colour class is independent. Applied to a leaf pair: alpha_f >= ceil(n_f/2) and alpha_g >= ceil((n_f - 1)/2).","Every forest, no exception. FOREST and TREE face (RUL-R20-C1-3). A statement about the independence NUMBER and the VERTEX COUNT - not about mode(i(F)) or any mode-indexed quantity.",see_certificate
E993-R19-FIXED-GAMMA-HALL,OPEN,"For every governed RTree tuple, the exact fixed Delete/Retag relation satisfies Hall's subset inequality.","Universal fixed-Gamma Hall mechanism for the r19 aggregate-beta route; stronger than E993-BETA-AGG; excludes the refuted residual-token capacity cap(y)=D-d_minus(y). [2026-09-17, Horn B of record (r23b terminal close, Ashton-approved): the r23 ordinary-tree object is the definition of record for O14's purposes; this row remains OPEN on its own governed-RTree terms pending the universal transfer RTree.semanticAdequacyTarget, registered as a named open obligation (LEDGER.md r23b section; r23b CLAIM-DISTINCTIONS entry HORN-B-OF-RECORD).]",see_certificate
E993-R19-TM-RATIO-PACKAGE,OPEN,"All four adjudicated ratio inequalities R-I, R-0, R-star, and R-K hold for every m>=1 on their exact coefficient ranges and imply the T_m aggregate sign.",The exact r19 T_m special-family ratio package only; does not assert all-tree aggregate beta or termwise negativity.,see_certificate
E993-R19-R2-HALL-UNIVERSAL,OPEN,Every eligible governed adjacent-rank transition satisfies the frozen radius-two Hall capacity inequality on destination-positive supports.,"Universal radius-two Hall certificate in r19; strictly stronger than and not equivalent to E993-BETA-AGG. [2026-09-17, Horn B of record (r23b terminal close, Ashton-approved): the r23 ordinary-tree object is the definition of record for O14's purposes; this row remains OPEN on its own governed-RTree terms pending the universal transfer RTree.semanticAdequacyTarget, registered as a named open obligation (LEDGER.md r23b section; r23b CLAIM-DISTINCTIONS entry HORN-B-OF-RECORD).]",see_certificate
E993-R19-U2-UNIVERSAL-FACES,OPEN,"For every eligible governed row under the frozen unweighted support-mean convention, S_ORB<=0 and C<=-S_ORB.",The two universal orbit/covariance sign faces used by the r19 conditional composition theorem; stronger than and not equivalent to E993-BETA-AGG.,see_certificate
E993-PAIR-S-NEG1-WINDOW-REDUCTION,VERIFIED,"The s=-1 window-step identity: at s=-1 (motion cell (1,0)) the window comparison reduces to two exact identities (I) h_M = g_M + r_M and (II) h_{M+2} - h_{M+1} = (g_{M+2}-g_M) - (r_M - r_{M+1}) shifted per the leaf recursion, whence r2_slack == h_{M+1} - h_{M+2} identically; hence R2 is the h_{M+1}-branch and R2-prime the h_M-branch of the max in the gap characterization; necessary condition: R2 fails while R2-prime succeeds only if delta-r_0 > a+b","general sum algebra; no unimodality needed for the algebra itself; the corollary branch identification proved on two independent derivations (R20C4-ADJ-T Lemma-W re-derivation; R20C4-ADJ-U from identities I+II, 3,995/3,995 numeric)",see_certificate
E993-PAIR-R-LE-G-POINTWISE,VERIFIED,"Pointwise domination (TWO instances of induced-subgraph monotonicity, both true - repair r20 C9, U R-1): for any graph G with a leaf/support pair (v,u): (i) r <= g coefficientwise (i(G-N[u]) <= i(G-N[v]) - the instance this row's key and aliases name); (ii) g <= f coefficientwise (i(G-N[v]) <= i(G-v) - the instance the prior statement's inline formula displayed). The C9 record notes the u1-direction limb as the mechanism excluding several abstract witness classes ((X1)).","any graph with a leaf/support pair; registered ON ITS PROOF. Discriminating power of record: kill rate 93.84% at the lengths-2-5 box, of which 84.5% is the index-0 coordinate (a weakened form of the registered r0=1); honest marginal given r0=1 is 64.7% (224->79); net kills at the net-zero chain's terminus are ZERO; at the sealed lengths-2-4 box the lemma contributes nothing beyond r0<=1 (111/111 index-0) r28 Cycle 1 (2026-09-25): corroborated: r28 seats T1, T2 and F2 re-derived clause (i) (leaf ≥ support, c_ℓ(k) ≥ c_s(k)) by the subset argument; it is the m = 1 case of E993-R28-PENDANT-PATH-LEAF-DOMINANCE, which extends it along the whole pendant path. Status unchanged.",see_certificate
E993-PAIR-BRANCH-FACTORIZATION,VERIFIED,"Branch factorization, FOREST-REPAIRED FORM, beta-prime clause CORRECTED r20 C6: for a leaf v with support u of a forest F, with w_1..w_k the neighbours of u other than v, B_i the component of (C(u)-u) containing w_i, beta_i := i(B_i), beta_i' := i(B_i - w_i) (delete w_i ALONE, not N[w_i]), and C(u) the component of F containing u: g = i(F - C(u)) * prod(beta_i) and r = i(F - C(u)) * prod(beta_i').","forests, with the i(F - C(u)) factor MANDATORY (without it the identity is FALSE on every disconnected instance: 82/82 failures; CE1 (a-u-b)+(c-d) is the minimal witness). 'Any graph' STRUCK OUTRIGHT - false in substance (the w_i need not lie in distinct components of G-u; CE2 C_4+pendant, CE3 triangle+leaf). The originally proposed forest/any-graph text is REFUSED and may not be cited",see_certificate
E993-PAIR-SPIDER-CLOSED-FORM,VERIFIED,"General spider closed form: i(Spider(l_1,...,l_K)) = prod q_{l_i} + x * prod q_{l_i - 1}, where q_l = i(P_l); with the path-attachment lemma (attaching a path to any vertex of any graph: i-polynomial recursion) as registrable sub-result at any-graph any-vertex scope, and the addition formula q_{a+b+1} = q_a q_b + x q_{a-1} q_{b-1} as byproduct","MANDATORY SCOPE LINE: the closed form is a PROOF (induction on legs); the CLOSURE BOUND for general spiders is NOT proved. Subsumes the proved cores of E993-PAIR-STAR-CLOSURE, E993-PAIR-PATH-CLOSURE, and Broom(m,l) at every (m,l)",see_certificate
E993-PAIR-CATERPILLAR-TRANSFER,VERIFIED,General caterpillar transfer recursion: the independence polynomial of a caterpillar with arbitrary tooth vector transfers along the spine by the two-term recursion with B_i = i(G_i - v_i) semantics; the uniform-comb recursion and the star are special cases,MANDATORY SCOPE LINE: the recursion is a PROOF; no closure bound for general caterpillars is proved. Interior-zero tooth vectors included,see_certificate
E993-PAIR-RANK2-EXACT,VERIFIED,"Rank-2 exactness: g_2 = C(g_1 - 1, 2) exactly when the leaf-deleted object is connected (registry convention; equivalently f_2 = C(f_1 - 1, 2) on the connected side)","EXACT only when the deleted object is CONNECTED (tree face, RUL-R20-C1-3 qualifier per ADJ-F-2); on the FOREST face only the inequality survives. Strictly strengthens {edge bound, cap} on that side, one-directionally",see_certificate
E993-PAIR-RANK3-TREE-SANDWICH,VERIFIED,"Rank-3 tree sandwich: for a tree on n vertices, C(n,3) - (n-2)^2 <= i_3 <= the tree maximum; LOWER ENDPOINT OF RECORD: C(n,3) - (n-2)^2 (equivalently C(n,3) - (n-1)(n-2) + (n-2)); attained by the path at every n >= 2","TREE face only (connectedness load-bearing, ADJ-F-2). The endpoint C(n,3) - (n-1)(n-3) printed in the C4 F3 route deliverable is WRONG BY EXACTLY 1 and violated by the path at every n >= 2 (ADJ-F-1, CRITICAL) - it may not be cited. f-side struck as exactly redundant",see_certificate
E993-PAIR-RANK3-FOREST-MAX,VERIFIED,"Rank-3 forest maximum on r: for a forest on n vertices with c components, i_3 <= C(n,3) - (n-c)(n-2) + C(n-c,2)","all forests, all (n,c)",see_certificate
E993-PAIR-RANK3-FOREST-MIN,VERIFIED,"Rank-3 forest minimum on r, GENERAL: for a forest on n vertices with c components, i_3 >= C(n,3) - (n-c)(n-2) + max(n - 2c, 0)","all forests, all (n,c), NO REGIME RESTRICTION (registers WITHOUT the r_1 <= 2c caveat - ruled unnecessary, C4-GATE-RECORD par.3 N9); P2^min = max(n-2c,0) proved",see_certificate
E993-R19-ROOT-SAFE-PRUNE-TOTALITY,REFUTED,Every governed nonbase target-root state with all original leaves literally marked admits a connected strict deletion that preserves every marked original leaf,"Exact r19 decorated-state mechanism: finite target trees, all original leaves literally marked, connected strict vertex deletion only; does not cover relabeling, disconnected carriers, graft successors, or compensated exits",see_certificate
E993-R19-SUPPORT-LOCKED-CORRIDOR-ADVANCE,REFUTED,A support-locked state system can provide a literal-label-preserving adjacent advance along a simple positive-length support path,"Exact r19 corridor mechanism: every state label is locked to its current support, each operation edge preserves the literal label, and an advance traverses two distinct consecutive supports; does not cover carried provenance independent of current support",see_certificate
